"Event Category","Product ID","Product Price"
"ItemPurchased (App)","(0)_account_Product_3__0",110
"ItemPurchased (App)","(0)_account_Product_7__0",110
"ItemPurchased (App)","(0)_account_Product_6__0",110
"ItemPurchased (App)","account_Product_Hero_10__0",330
"ItemPurchased (App)","account_Product_Hero_9__0",330
"ItemPurchased (App)","account_Product_Hero_8__0",330
"ItemPurchased (App)","account_Product_Hero_7__0",330
"ItemPurchased (App)","(0)_account_Product_7__0",110
"ItemPurchased (App)","Sudden_Product_Research__0",330
"ItemPurchased (App)","Pass_Product_0__1",770
"ItemPurchased (App)","Pass_Product_1__0",550
"ItemPurchased (App)","Minigame_Product_draw_4__3300",3300
"ItemPurchased (App)","Pass_Product_0__0",550
"ItemPurchased (App)","account_Product_Hero_6__0",330
"ItemPurchased (App)","Pass_Product_0__1",770
"ItemPurchased (App)","Sudden_Product_Hero2__2",1100
"ItemPurchased (App)","(0)_account_Product_2__0",110
"ItemPurchased (App)","Preminum_Product__2",1980
"ItemPurchased (App)","account_Product_Hero_2__3",3300
"ItemPurchased (App)","account_Product_Hero_0__2",1100
"ItemPurchased (App)","account_Product_Hero_6__4",5500
"ItemPurchased (App)","Sudden_Product_Weapon__0",330
"ItemPurchased (App)","Sudden_Product_Growth2__0",330
"ItemPurchased (App)","account_Product_Hero_2__2",1100
"ItemPurchased (App)","account_Product_Hero_10__4",5500
"ItemPurchased (App)","Preminum_Product__2",1980
"ItemPurchased (App)","Pass_Product_3__0",550
"ItemPurchased (App)","Pass_Product_2__0",550
"ItemPurchased (App)","Pass_Product_1__0",550
"ItemPurchased (App)","Pass_Product_0__0",550
"ItemPurchased (App)","account_Product_draw_4__4",5500
"ItemPurchased (App)","Sudden_Product_Weapon__0",330
"ItemPurchased (App)","Sudden_Product_Growth2__2",1100
"ItemPurchased (App)","Sudden_Product_Stage__1",3300
"ItemPurchased (App)","Pass_Product_0__0",550
"ItemPurchased (App)","account_Product_draw_4__2",1100
"ItemPurchased (App)","Minigame_Product_draw_4__3300",3300
"ItemPurchased (App)","Minigame_Product_draw_1__1100",1100
"ItemPurchased (App)","Preminum_Product__2",1980
"ItemPurchased (App)","Sudden_Product_Hero2__2",1100
"ItemPurchased (App)","Sudden_Product_Boost__0",330
"ItemPurchased (App)","Sudden_Product_Stage__2",5500
"ItemPurchased (App)","Preminum_Product__1",770
"ItemPurchased (App)","account_Product_draw_4__3",3300
"ItemPurchased (App)","account_Product_draw_4__0",110
"ItemPurchased (App)","Sudden_Product_Weapon__2",1100
"ItemPurchased (App)","account_Product_Hero_10__0",330
"ItemPurchased (App)","(0)_account_Product_3__0",110
"ItemPurchased (App)","account_Product_Hero_3__0",330
"ItemPurchased (App)","account_Product_Hero_2__0",330
"ItemPurchased (App)","account_Product_Hero_1__0",330
"ItemPurchased (App)","account_Product_Hero_0__0",330
