"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_200 (App)","W:23_0A:20_0","12","{""attendance_count"":12,""install_day"":""2025-07-18"",""total_payment_amount"":0,""user_name"":""지빠빠"",""user_rank"":2620,""user_stage"":200}"
"stage_reached_200 (App)","W:22_0A:20_0","12","{""attendance_count"":12,""install_day"":""2025-07-19"",""total_payment_amount"":0,""user_name"":""능구"",""user_rank"":2260,""user_stage"":200}"
"stage_reached_200 (App)","W:23_0A:19_0","11","{""attendance_count"":11,""install_day"":""2025-07-20"",""total_payment_amount"":7700,""user_name"":""딩떵이"",""user_rank"":2742,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","1","{""attendance_count"":1,""install_day"":""2025-07-31"",""total_payment_amount"":227700,""user_name"":""옥지의빵빵이"",""user_rank"":3063,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","6","{""attendance_count"":6,""install_day"":""2025-07-25"",""total_payment_amount"":7700,""user_name"":""난망고다"",""user_rank"":2309,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","6","{""attendance_count"":6,""install_day"":""2025-07-26"",""total_payment_amount"":0,""user_name"":""올롷로"",""user_rank"":2166,""user_stage"":200}"
"stage_reached_200 (App)","W:23_0A:19_0","16","{""attendance_count"":16,""install_day"":""2025-07-15"",""total_payment_amount"":0,""user_name"":""수경선생"",""user_rank"":3182,""user_stage"":200}"
"stage_reached_200 (App)","W:22_0A:19_0","7","{""attendance_count"":7,""install_day"":""2025-07-23"",""total_payment_amount"":0,""user_name"":""유진님"",""user_rank"":2260,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","6","{""attendance_count"":6,""install_day"":""2025-07-26"",""total_payment_amount"":7700,""user_name"":""붕어알"",""user_rank"":2106,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:20_0","13","{""attendance_count"":13,""install_day"":""2025-07-19"",""total_payment_amount"":0,""user_name"":""태종태세문"",""user_rank"":2165,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:19_0","11","{""attendance_count"":11,""install_day"":""2025-07-19"",""total_payment_amount"":7700,""user_name"":""PODO"",""user_rank"":2184,""user_stage"":200}"
"stage_reached_200 (App)","W:21_0A:19_0","11","{""attendance_count"":11,""install_day"":""2025-07-19"",""total_payment_amount"":7700,""user_name"":""모지"",""user_rank"":2280,""user_stage"":200}"
"stage_reached_200 (App)","W:22_0A:19_0","15","{""attendance_count"":15,""install_day"":""2025-07-16"",""total_payment_amount"":11000,""user_name"":""IanFam"",""user_rank"":2215,""user_stage"":200}"
"stage_reached_200 (App)","W:20_0A:20_0","13","{""attendance_count"":13,""install_day"":""2025-07-19"",""total_payment_amount"":7700,""user_name"":""백호랑이"",""user_rank"":2150,""user_stage"":200}"
