"Event Category","Custom Event Properties","Product ID","Product Price"
"Order Complete (App)","{""a_attendance_count"":11,""a_user_name"":""발직"",""a_user_stage"":287,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-21"",""total_payment_amount"":73700,""user_rank"":318}","ruby_5",55000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""지상이"",""a_user_stage"":4,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":5,""a_user_name"":""허어어니"",""a_user_stage"":216,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":49500,""user_rank"":1905}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""종생"",""a_user_stage"":91,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":7700,""user_rank"":5361}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""폭력왕"",""a_user_stage"":24,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":13374}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":34100,""user_rank"":4206}","ruby_1",1100
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":31900,""user_rank"":4206}","ruby_1",1100
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":31900,""user_rank"":4206}","ruby_1",1100
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":29700,""user_rank"":4206}","ruby_1",1100
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""GaDo"",""a_user_stage"":316,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":97900,""user_rank"":180}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":3,""a_user_name"":""제근"",""a_user_stage"":95,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":7700,""user_rank"":4981}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":401,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1254000,""user_rank"":44}","ruby_6",110000
"Order Complete (App)","{""a_attendance_count"":6,""a_user_name"":""권동근"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":7700,""user_rank"":5176}","ruby_1",1100
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":118,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":18700,""user_rank"":4206}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":6,""a_user_name"":""권동근"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":0,""user_rank"":5176}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":118,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":7700,""user_rank"":4206}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":12,""a_user_name"":""s불멸1s"",""a_user_stage"":306,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":855800,""user_rank"":202}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""한국사전문가"",""a_user_stage"":9,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""한시대풍미"",""a_user_stage"":12,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":12,""a_user_name"":""환상의섬"",""a_user_stage"":366,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":345400,""user_rank"":75}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""냉균"",""a_user_stage"":249,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":95700,""user_rank"":1051}","ruby_5",55000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""마듀"",""a_user_stage"":8,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":4,""a_user_name"":""북부역사학자"",""a_user_stage"":120,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":33000,""user_rank"":4246}","ruby_4",33000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""쿠사리"",""a_user_stage"":5,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":227,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":48400,""user_rank"":1852}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","ruby_6",110000
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","ruby_6",110000
"Order Complete (App)","{""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":843700,""user_rank"":55}","ruby_6",110000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""김피곤"",""a_user_stage"":45,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":12145}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":222,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":41800,""user_rank"":1852}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""악동영이"",""a_user_stage"":5,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":220,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":35200,""user_rank"":1852}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""꾸이짱"",""a_user_stage"":11,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""멸이"",""a_user_stage"":6,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""골떼는그녀"",""a_user_stage"":61,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":12670}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""LeoHan"",""a_user_stage"":14,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""그믐"",""a_user_stage"":6,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""광개토대황제"",""a_user_stage"":245,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":7700,""user_rank"":1201}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""미아아아알"",""a_user_stage"":4,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""갬성"",""a_user_stage"":68,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":30800,""user_rank"":7431}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""드레옹"",""a_user_stage"":447,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":1283700,""user_rank"":23}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""드레옹"",""a_user_stage"":447,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":1239700,""user_rank"":23}","ruby_4",33000
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""minjaema"",""a_user_stage"":201,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-18"",""total_payment_amount"":18700,""user_rank"":2134}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":7,""a_user_name"":""가을빛달"",""a_user_stage"":267,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-25"",""total_payment_amount"":337700,""user_rank"":611}","ruby_4",33000
"Order Complete (App)","{""a_attendance_count"":5,""a_user_name"":""권리"",""a_user_stage"":228,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":18700,""user_rank"":1780}","ruby_3",11000
"Order Complete (App)","{""a_attendance_count"":3,""a_user_name"":""초인고양이"",""a_user_stage"":244,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":195800,""user_rank"":1296}","ruby_2",6600
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""복마니1"",""a_user_stage"":284,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-18"",""total_payment_amount"":128700,""user_rank"":375}","ruby_5",55000
"Order Complete (App)","{""a_attendance_count"":1,""a_user_name"":""옥지의빵빵이"",""a_user_stage"":137,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":117700,""user_rank"":3482}","ruby_6",110000
"Order Complete (App)","{""a_attendance_count"":13,""a_user_name"":""지남샘"",""a_user_stage"":336,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-18"",""total_payment_amount"":253000,""user_rank"":128}","ruby_2",6600
