"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2025-07-31 23:59:18"",""a_EventItem"":""0, 0, 0, 0, 9, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":9,""a_user_name"":""여름이니까"",""a_user_stage"":364,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-22"",""total_payment_amount"":509300,""user_rank"":82}","Minigame_Product_draw_0__550",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:55:18"",""a_EventItem"":""0, 0, 0, 0, 0, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":11,""a_user_name"":""발직"",""a_user_stage"":287,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-21"",""total_payment_amount"":128700,""user_rank"":318}","Minigame_Product_draw_2__1100",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:55:15"",""a_EventItem"":""0, 0, 0, 0, 0, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":11,""a_user_name"":""발직"",""a_user_stage"":287,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-21"",""total_payment_amount"":128700,""user_rank"":318}","Minigame_Product_draw_1__1100",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:55:12"",""a_EventItem"":""0, 0, 0, 0, 0, 10, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":11,""a_user_name"":""발직"",""a_user_stage"":287,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-21"",""total_payment_amount"":128700,""user_rank"":318}","Minigame_Product_draw_0__550",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:46:16"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":5,""a_user_name"":""허어어니"",""a_user_stage"":216,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":56100,""user_rank"":1905}","Sudden_Product_Hero2__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:46:38"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":406,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1364000,""user_rank"":43}","Diamond_Product__1",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:46:32"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":406,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1364000,""user_rank"":43}","Diamond_Product__1",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:46:07"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":1,""a_user_name"":""종생"",""a_user_stage"":91,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":14300,""user_rank"":5361}","Sudden_Product_Hero1__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:45:58"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":1,""a_user_name"":""종생"",""a_user_stage"":91,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-31"",""total_payment_amount"":14300,""user_rank"":5361}","Sudden_Product_Weapon__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:38:32"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":391,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(0)_account_Product_7__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:38:29"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":391,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(0)_account_Product_6__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:38:45"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":34100,""user_rank"":4206}","Preminum_Product__4",660
"ItemPurchased (App)","{""Time"":""2025-07-31 23:36:41"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":406,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1364000,""user_rank"":43}","Sudden_Product_Stage__6",5500
"ItemPurchased (App)","{""Time"":""2025-07-31 23:36:32"",""a_EventItem"":""0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":13,""a_user_name"":""GaDo"",""a_user_stage"":316,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":108900,""user_rank"":182}","Sudden_Product_Hero2__2",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:34:33"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""냉균"",""a_user_stage"":256,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":150700,""user_rank"":1051}","Sudden_Product_Growth1__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:32:24"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":3,""a_user_name"":""제근"",""a_user_stage"":95,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":18700,""user_rank"":4981}","account_Product_Hero_6__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:31:29"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":401,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1364000,""user_rank"":44}","(1)_account_Product_6__1",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:31:26"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":401,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1364000,""user_rank"":44}","(1)_account_Product_6__0",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:30:53"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":401,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1254000,""user_rank"":44}","(0)_account_Product_7__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:30:50"",""a_EventItem"":""0, 0, 0, 0, 4, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1"",""a_attendance_count"":5,""a_user_name"":""A파도"",""a_user_stage"":401,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":1254000,""user_rank"":44}","(0)_account_Product_6__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:29:48"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""제웁스"",""a_user_stage"":118,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-30"",""total_payment_amount"":29700,""user_rank"":4206}","Preminum_Product__2",1980
"ItemPurchased (App)","{""Time"":""2025-07-31 23:28:54"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":6,""a_user_name"":""권동근"",""a_user_stage"":119,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":7700,""user_rank"":5176}","Preminum_Product__1",770
"ItemPurchased (App)","{""Time"":""2025-07-31 23:25:53"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 9, 2, 1, 0, 0, 0, 1"",""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":230,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":55000,""user_rank"":1852}","(0)_account_Product_6__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:25:47"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 9, 2, 1, 0, 0, 0, 1"",""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":230,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":55000,""user_rank"":1852}","(0)_account_Product_5__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:23:57"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 30, 0, 0, 0"",""a_attendance_count"":12,""a_user_name"":""s불멸1s"",""a_user_stage"":306,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":866800,""user_rank"":202}","Sudden_Product_Stage__4",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:19:48"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""냉균"",""a_user_stage"":249,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":150700,""user_rank"":1051}","Sudden_Product_Weapon__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:19:45"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""냉균"",""a_user_stage"":249,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":150700,""user_rank"":1051}","Sudden_Product_Armor__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:19:41"",""a_EventItem"":""0, 0, 0, 0, 20, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":12,""a_user_name"":""환상의섬"",""a_user_stage"":366,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":356400,""user_rank"":75}","Sudden_Product_Growth1__3",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:19:12"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 2, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""냉균"",""a_user_stage"":249,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":150700,""user_rank"":1051}","Sudden_Product_Stage__1",3300
"ItemPurchased (App)","{""Time"":""2025-07-31 23:16:35"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":4,""a_user_name"":""북부역사학자"",""a_user_stage"":121,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":66000,""user_rank"":4246}","Sudden_Product_Hero2__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:15:59"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":5,""a_user_name"":""야옹님"",""a_user_stage"":143,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":11000,""user_rank"":3402}","account_Product_draw_3__0",110
"ItemPurchased (App)","{""Time"":""2025-07-31 23:15:41"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":4,""a_user_name"":""북부역사학자"",""a_user_stage"":121,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":66000,""user_rank"":4246}","Sudden_Product_Stage__0",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:12:41"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":4,""a_user_name"":""북부역사학자"",""a_user_stage"":120,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":66000,""user_rank"":4246}","Sudden_Product_Growth1__0",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:12:14"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(0)_account_Product_4__2",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:12:11"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(0)_account_Product_4__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:12:05"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(1)_account_Product_2__1",3300
"ItemPurchased (App)","{""Time"":""2025-07-31 23:12:02"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(1)_account_Product_2__0",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:11:59"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(1)_account_Product_4__2",5500
"ItemPurchased (App)","{""Time"":""2025-07-31 23:11:56"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(1)_account_Product_4__1",3300
"ItemPurchased (App)","{""Time"":""2025-07-31 23:11:53"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","(1)_account_Product_4__0",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:44"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_2__4",5500
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:41"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_2__3",3300
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:38"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_2__2",1100
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:35"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_2__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:32"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_2__0",330
"ItemPurchased (App)","{""Time"":""2025-07-31 23:10:23"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 10, 10, 9, 2, 1, 0, 0, 0, 1"",""a_attendance_count"":6,""a_user_name"":""앙코"",""a_user_stage"":227,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-26"",""total_payment_amount"":55000,""user_rank"":1852}","account_Product_draw_5__1",550
"ItemPurchased (App)","{""Time"":""2025-07-31 23:09:56"",""a_EventItem"":""1, 1, 0, 0, 20, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0"",""a_attendance_count"":2,""a_user_name"":""김메롱"",""a_user_stage"":386,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-29"",""total_payment_amount"":1173700,""user_rank"":55}","account_Product_Hero_1__4",5500
"ItemPurchased (App)","{""Time"":""2025-07-31 23:09:35"",""a_EventItem"":""0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0"",""a_attendance_count"":4,""a_user_name"":""북부역사학자"",""a_user_stage"":118,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-27"",""total_payment_amount"":33000,""user_rank"":4246}","Sudden_Product_Weapon__1",550
