순위,UUID,닉네임,점수,추가 항목
1,15c840e0-63d3-11f0-9a87-810a40a679fa,KIRA,1123,9
2,d88da590-618d-11f0-be18-d54b23f40b25,악마,1006,9
3,bb9356e0-6c34-11f0-948b-913c7c2d582b,암부,979,9
4,f63c3280-6720-11f0-b696-57f6be140e14,Raid,965,9
5,643e1dd0-6eaf-11f0-8ed1-7fc5c439fecf,소담소민,937,9
6,c26f8420-7161-11f0-8abd-4fb202f7ffe2,조승연,926,9
7,0c9e5850-62b2-11f0-b038-1df969c0d9a5,엉망,907,9
8,4aed3840-6543-11f0-b2e4-155beee88baa,부릉부릉,887,9
9,c3c47f20-61f2-11f0-9e54-f5b20913bba4,대머리강서구,868,9
10,66ad3bf0-7819-11f0-8355-91a21b7092d6,슬2,865,9
11,4e144c50-6397-11f0-a4da-3d0ef443f21c,JJJ0738,852,9
12,bbe4fd80-6269-11f0-b63f-7755b72aa50f,덕풍동시라소니,844,9
13,3f7a7390-6603-11f0-9582-8f4f9f5b46ce,럭키스트라이크,837,9
14,dcfafa40-621b-11f0-9ed2-2327c5a1ff14,상처,826,9
14,40c562e0-647e-11f0-bd3a-59ec6d6002f0,드레옹,826,9
16,76080ea0-6431-11f0-b895-d750b0653929,개근남,814,9
17,58d5c9b0-6398-11f0-9e16-f1cd993522e6,심대표,765,8
18,c123ed00-707f-11f0-af08-ff0c7b19e63c,오디나무,761,8
19,32af3fb0-6653-11f0-96fa-990fd0c2f326,Jemin,746,8
20,69499d20-7c08-11f0-98e3-eb6b6c6d4787,Hotal,742,8
21,ef36b910-61f8-11f0-8f57-d38927707cf0,김승원,738,8
22,36db7b50-6d45-11f0-a5ac-25cfed422797,코리아se스머신,731,8
23,987da7e0-6492-11f0-bbfe-0d14bcd852b5,쟁요,723,8
24,1866e840-7113-11f0-a2a7-91b28ed640aa,금재곱,710,8
25,eef7c640-6af6-11f0-b6ac-91e7f241e767,허어어니,697,8
26,cdeed560-6d53-11f0-9718-a1d3d1d51c27,이야이,694,8
27,dd19e7d0-6427-11f0-a684-2b9cd36018bc,노비출신,693,8
27,636fa750-6448-11f0-9230-ab77de340b9d,껸네,693,8
29,37c4d360-6451-11f0-8944-5327091948db,leonso,690,8
