순위,UUID,닉네임,점수,추가 항목
1,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,동행,20349,6334800원|2025-12-16 01:05:59|13|24|30|24|30|20|8|8|7|8|7|0|0|5.700V|800|800|600|0a100|0a378.3|1540
2,54ac8250-9587-11ef-bae1-e99e5909ec5f,예슬아,20311,5578900원|2025-12-16 01:25:29|13|24|30|24|30|20|18|7|6|7|6|0|0|245.074U|800|800|647|0a100|0a349.8|1540
3,f543f970-8f90-11ef-94ed-cf6209089134,무과금의교과서,20173,11313400원|2025-12-16 00:27:14|12|24|29|24|26|20|7|8|5|7|5|0|0|15.267T|800|800|500|0a100|0a264.1|1540
4,fa266380-807a-11ef-bd85-c334686e1c45,꿈쥐,20116,6497700원|2025-12-16 01:10:11|13|24|29|24|29|20|16|8|6|7|6|0|0|1.980V|800|800|587|0a100|0a358|1540
5,6454cfe0-807a-11ef-aa01-9d9eae32e1da,메두사,20037,6607700원|2025-12-16 00:46:26|13|24|30|24|30|20|18|8|6|8|4|0|0|204.125U|800|800|481|0a93|0a126|1540
6,dc6b9c30-7d45-11ef-b8c8-9f6e7b6da44c,아랍왕자,20016,5540800원|2025-12-16 01:31:10|12|24|30|24|30|20|18|7|7|7|7|0|0|863.619T|686|650|243|0a100|0a600|1540
7,6347f790-89ed-11ef-9fd7-779fb3cc927f,다산,11109,6860700원|2025-12-15 09:30:13|12|24|30|24|30|20|17|7|5|8|5|0|0|6.625S|710|710|525|0a87.2|0a172.1|1363
8,364023f0-7feb-11ef-907a-53cfb9749a97,3300원도아깝,11056,19451300원|2025-12-15 10:35:21|12|24|26|24|24|20|6|8|7|8|7|0|0|13.140T|800|800|500|0a100|0a293|1540
9,d5d6d240-a388-11ef-9971-a56dbdfe8f59,튜토리얼,11054,5822100원|2025-11-14 07:17:07|12|24|24|24|24|20|11|8|7|8|7|0|0|12.566T|800|800|653|0a100|0a290.5|1540
10,c4a47b30-7dae-11ef-9065-db7206b02bb0,별하,10948,21552500원|2025-12-13 05:47:29|12|24|23|24|23|20|3|7|7|7|7|0|0|3.132S|800|800|350|0a100|0a202.8|1540
11,cdf88df0-7f04-11ef-8518-5fedfc5cfa32,레벨업,10866,2451300원|2025-12-13 14:06:49|12|24|29|24|23|20|2|7|4|7|3|0|0|9.413R|650|650|300|0a6.8|0a107|1540
11,c8263fa0-7d45-11ef-962b-ad2122108947,현타빌런흑천검,10866,15507500원|2025-10-02 01:51:29|11|24|18|24|18|20|3|9|8|8|8|0|0|8.965R|800|800|1a100|1a600|1540
13,b6b10e20-b2bb-11ef-8b0b-3f0a6e303454,간짜장,10861,3012700원|2025-12-03 18:37:40|12|24|29|23|0|20|6|8|8|5|3|0|0|17.589R|664|400|351|0a100|0a190|1540
14,bbd1d9a0-8f81-11ef-841a-6dd0ed1a3d0e,뿡까,10788,443600원|2025-12-15 18:21:22|11|24|14|23|0|20|1|7|6|7|6|0|0|9.658Q|745|800|250|0a100|0a239|1446
15,d1de8990-7d76-11ef-aa83-d3b507ee170f,막내시로,10784,680300원|2025-12-15 22:32:48|11|24|13|24|0|20|0|7|5|7|6|0|0|6.940Q|800|800|200|0a82.4|0a120|1443
