순위,UUID,닉네임,점수,추가 항목
1,15c840e0-63d3-11f0-9a87-810a40a679fa,KIRA,768,8
2,dcfafa40-621b-11f0-9ed2-2327c5a1ff14,상처,730,8
3,4aed3840-6543-11f0-b2e4-155beee88baa,부릉부릉,725,8
4,d88da590-618d-11f0-be18-d54b23f40b25,악마,709,8
5,dd19e7d0-6427-11f0-a684-2b9cd36018bc,노비출신,622,8
6,0c9e5850-62b2-11f0-b038-1df969c0d9a5,엉망,563,7
7,f63c3280-6720-11f0-b696-57f6be140e14,Raid,552,7
8,4e144c50-6397-11f0-a4da-3d0ef443f21c,JJJ0738,547,7
9,3f76e8d0-62dc-11f0-a53e-f720860fcc8a,천휼,545,7
10,22302cb0-629f-11f0-9c35-45ef6a487d5b,천하난세,530,7
11,2f9233f0-63b0-11f0-bbdf-4720f039de06,쭌이파파,492,6
12,3f7a7390-6603-11f0-9582-8f4f9f5b46ce,럭키스트라이크,484,6
13,32af3fb0-6653-11f0-96fa-990fd0c2f326,Jemin,481,6
14,c3c47f20-61f2-11f0-9e54-f5b20913bba4,대머리강서구,478,6
15,37c4d360-6451-11f0-8944-5327091948db,leonso,476,6
16,0f01b170-626a-11f0-b63f-7755b72aa50f,은비,471,6
17,bbe4fd80-6269-11f0-b63f-7755b72aa50f,덕풍동시라소니,466,6
17,87edfab0-6a00-11f0-9416-6d61d44d7bd3,이세계아이돌,466,6
19,747c1680-6378-11f0-a136-2da89d763260,살성,465,6
20,dcb7d770-6373-11f0-ba6d-31d76c70e10b,꽃해골,458,6
21,1f635ff0-6ad5-11f0-81c8-df68c1af4b53,완투쓰리,454,6
22,ef36b910-61f8-11f0-8f57-d38927707cf0,김승원,446,6
23,d2ace080-647d-11f0-bb5e-79bc0c4c5953,신펜,445,6
23,c14cecd0-64ce-11f0-89c4-91955faa19a3,내일요,445,6
25,76080ea0-6431-11f0-b895-d750b0653929,개근남,438,6
26,af774250-63be-11f0-a7e3-7b406ef3e8c7,피코리나,437,6
27,d4bafc10-63e5-11f0-89c3-81bc4ed5aa4e,키드,434,6
27,9c135f80-6226-11f0-82ed-f76fbd04887c,넌누구니,434,6
29,b407bb20-6467-11f0-a19b-cd9bee505425,태풍표류기,433,6
30,06293170-623f-11f0-8e4e-3fc4beb87eac,동상,431,6
31,7efe8820-6302-11f0-a53e-f720860fcc8a,토실토실,430,6
31,40c562e0-647e-11f0-bd3a-59ec6d6002f0,드레옹,430,6
33,d57fab70-63c0-11f0-b6ab-ab1d57efd9b6,유태,425,6
33,636fa750-6448-11f0-9230-ab77de340b9d,껸네,425,6
35,abd22e10-621c-11f0-bbfd-8564365ef7ff,만마앙복,417,6
36,c4465a70-62d0-11f0-a53e-f720860fcc8a,황장우,413,6
37,06b9f870-63ef-11f0-a934-37f97c3285aa,절대무적,409,6
38,0109ec60-6326-11f0-8452-27084395bcc2,만흑랑,401,5
39,0f9049d0-618e-11f0-bd36-5f31c52cdc75,아마테라스,400,5
40,7820d440-62b7-11f0-a89f-3182c3b8adb5,디우,397,5
41,ec86c130-649e-11f0-ac20-8734dac19833,대명,396,5
42,b90ebd70-63a5-11f0-9e98-299d606b6be2,천사오빵,394,5
43,aac846c0-6af1-11f0-92e1-394a8ca307ec,A파도,392,5
44,ec218bf0-62cb-11f0-b968-b15002a4efc3,한국완주,391,5
44,2c5cb5b0-6514-11f0-8799-a56030339d38,GC,391,5
46,eeda0500-6467-11f0-82c1-d1354574f8a3,사랑잉,388,5
46,a091b790-664b-11f0-8bf6-afeec62e00c0,몽달이,388,5
46,987da7e0-6492-11f0-bbfe-0d14bcd852b5,쟁요,388,5
49,2dc21e70-6269-11f0-97b4-198e3a6088ef,차희,387,5
49,11660050-6464-11f0-b9a2-71a70b35ee88,쉬밤꺼,387,5
51,9d22eab0-639a-11f0-9b51-d36a85c863a7,한석봉,386,5
52,d67ac9a0-62d6-11f0-a655-3f20d48333c3,은월랑,385,5
52,be3f3300-62de-11f0-a9e2-bd6cd50a5a78,디올대디,385,5
54,4ac84310-63ee-11f0-bf41-c3e2fe979c75,태백,381,5
55,8658ee50-6256-11f0-98d2-c5ba3f452be0,별빛속삭임,377,5
56,4ebc6910-658d-11f0-8de7-713c959a95d8,대제,373,5
57,d58db770-6ccf-11f0-80b2-df6a7b97e98b,김메롱,371,5
57,82738560-63d8-11f0-9a87-810a40a679fa,줸줸,371,5
57,79934b50-63fc-11f0-83ae-cb0d7c1d5c99,uj,371,5
57,754623b0-62bc-11f0-a89f-3182c3b8adb5,틸라스,371,5
57,6d1ad280-6695-11f0-ba90-31fb5fd677bf,알팡카,371,5
