"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_600 (App)","W:23_0A:22_0","232","{""attendance_count"":232,""install_day"":""2024-12-12"",""total_payment_amount"":7700,""user_name"":""천리독행"",""user_rank"":221,""user_stage"":600}"
"stage_reached_600 (App)","W:22_0A:22_0","215","{""attendance_count"":215,""install_day"":""2024-12-12"",""total_payment_amount"":35200,""user_name"":""표류과장"",""user_rank"":229,""user_stage"":600}"
"stage_reached_600 (App)","W:24_6A:23_0","12","{""attendance_count"":12,""install_day"":""2025-07-18"",""total_payment_amount"":4737700,""user_name"":""노비출신"",""user_rank"":5,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","199","{""attendance_count"":199,""install_day"":""2025-01-13"",""total_payment_amount"":8800,""user_name"":""김두한"",""user_rank"":232,""user_stage"":600}"
"stage_reached_600 (App)","W:24_2A:24_0","10","{""attendance_count"":10,""install_day"":""2025-07-20"",""total_payment_amount"":4627700,""user_name"":""부릉부릉"",""user_rank"":4,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:20_0","189","{""attendance_count"":189,""install_day"":""2024-12-28"",""total_payment_amount"":7700,""user_name"":""우인상"",""user_rank"":228,""user_stage"":600}"
"stage_reached_600 (App)","W:20_0A:21_0","159","{""attendance_count"":159,""install_day"":""2025-02-19"",""total_payment_amount"":0,""user_name"":""누노"",""user_rank"":230,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","225","{""attendance_count"":225,""install_day"":""2024-12-15"",""total_payment_amount"":8800,""user_name"":""사신뢰검"",""user_rank"":213,""user_stage"":600}"
"stage_reached_600 (App)","W:24_6A:23_0","9","{""attendance_count"":9,""install_day"":""2025-07-18"",""total_payment_amount"":4847700,""user_name"":""KIRA"",""user_rank"":3,""user_stage"":600}"
"stage_reached_600 (App)","W:24_0A:23_0","11","{""attendance_count"":11,""install_day"":""2025-07-15"",""total_payment_amount"":2766500,""user_name"":""악마"",""user_rank"":2,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","11","{""attendance_count"":11,""install_day"":""2025-07-16"",""total_payment_amount"":3130600,""user_name"":""상처"",""user_rank"":1,""user_stage"":600}"
"stage_reached_600 (App)","W:22_0A:23_0","230","{""attendance_count"":230,""install_day"":""2024-11-26"",""total_payment_amount"":7700,""user_name"":""아언"",""user_rank"":213,""user_stage"":600}"
"stage_reached_600 (App)","W:24_1A:21_0","220","{""attendance_count"":220,""install_day"":""2024-12-13"",""total_payment_amount"":7700,""user_name"":""마리뿅"",""user_rank"":216,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:22_0","177","{""attendance_count"":177,""install_day"":""2025-01-27"",""total_payment_amount"":7700,""user_name"":""좋소워리어"",""user_rank"":208,""user_stage"":600}"
"stage_reached_600 (App)","W:24_5A:23_0","228","{""attendance_count"":228,""install_day"":""2024-12-06"",""total_payment_amount"":7700,""user_name"":""걍쥐"",""user_rank"":209,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","181","{""attendance_count"":181,""install_day"":""2025-01-18"",""total_payment_amount"":7700,""user_name"":""알파카d"",""user_rank"":207,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","169","{""attendance_count"":169,""install_day"":""2025-01-24"",""total_payment_amount"":45100,""user_name"":""지산"",""user_rank"":216,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:23_0","181","{""attendance_count"":181,""install_day"":""2025-01-18"",""total_payment_amount"":7700,""user_name"":""왈라비g"",""user_rank"":207,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:22_0","215","{""attendance_count"":215,""install_day"":""2024-12-11"",""total_payment_amount"":7700,""user_name"":""볼빨간큐떱"",""user_rank"":235,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:22_0","169","{""attendance_count"":169,""install_day"":""2025-02-01"",""total_payment_amount"":0,""user_name"":""줴민이"",""user_rank"":205,""user_stage"":600}"
"stage_reached_600 (App)","W:24_0A:21_0","213","{""attendance_count"":213,""install_day"":""2024-12-19"",""total_payment_amount"":1100,""user_name"":""모른다구"",""user_rank"":221,""user_stage"":600}"
"stage_reached_600 (App)","W:23_0A:20_0","133","{""attendance_count"":133,""install_day"":""2024-09-28"",""total_payment_amount"":145900,""user_name"":""류아"",""user_rank"":203,""user_stage"":600}"
