Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_5,55000,11,¹ßÁ÷,287,GooglePlay,2025-07-21,73700,318
Order Complete (App),,ads_remove,7700,1,Áö»óÀÌ,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,5,Çã¾î¾î´Ï,216,GooglePlay,2025-07-27,49500,1905
Order Complete (App),,ruby_2,6600,1,Á¾»ý,91,GooglePlay,2025-07-31,7700,5361
Order Complete (App),,ads_remove,7700,1,Æø·Â¿Õ,24,GooglePlay,2025-07-31,0,13374
Order Complete (App),,ruby_1,1100,2,Á¦¿ó½º,119,GooglePlay,2025-07-30,34100,4206
Order Complete (App),,ruby_1,1100,2,Á¦¿ó½º,119,GooglePlay,2025-07-30,31900,4206
Order Complete (App),,ruby_1,1100,2,Á¦¿ó½º,119,GooglePlay,2025-07-30,31900,4206
Order Complete (App),,ruby_1,1100,2,Á¦¿ó½º,119,GooglePlay,2025-07-30,29700,4206
Order Complete (App),,ruby_3,11000,13,GaDo,316,GooglePlay,2025-07-19,97900,180
Order Complete (App),,ruby_3,11000,3,Á¦±Ù,95,GooglePlay,2025-07-29,7700,4981
Order Complete (App),,ruby_6,110000,5,AÆÄµµ,401,GooglePlay,2025-07-27,1254000,44
Order Complete (App),,ruby_1,1100,6,±Çµ¿±Ù,119,GooglePlay,2025-07-26,7700,5176
Order Complete (App),,ruby_3,11000,2,Á¦¿ó½º,118,GooglePlay,2025-07-30,18700,4206
Order Complete (App),,ruby_2,6600,6,±Çµ¿±Ù,119,GooglePlay,2025-07-26,0,5176
Order Complete (App),,ruby_3,11000,2,Á¦¿ó½º,118,GooglePlay,2025-07-30,7700,4206
Order Complete (App),,ruby_3,11000,12,sºÒ¸ê1s,306,GooglePlay,2025-07-19,855800,202
Order Complete (App),,ads_remove,7700,1,ÇÑ±¹»çÀü¹®°¡,9,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,ÇÑ½Ã´ëÇ³¹Ì,12,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,12,È¯»óÀÇ¼¶,366,GooglePlay,2025-07-19,345400,75
Order Complete (App),,ruby_5,55000,2,³Ã±Õ,249,GooglePlay,2025-07-29,95700,1051
Order Complete (App),,ads_remove,7700,1,¸¶µà,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,4,ºÏºÎ¿ª»çÇÐÀÚ,120,GooglePlay,2025-07-27,33000,4246
Order Complete (App),,ads_remove,7700,1,Äí»ç¸®,5,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,6,¾ÓÄÚ,227,GooglePlay,2025-07-26,48400,1852
Order Complete (App),,ruby_6,110000,2,±è¸Þ·Õ,386,GooglePlay,2025-07-29,1173700,55
Order Complete (App),,ruby_6,110000,2,±è¸Þ·Õ,386,GooglePlay,2025-07-29,1173700,55
Order Complete (App),,ruby_6,110000,2,±è¸Þ·Õ,386,GooglePlay,2025-07-29,843700,55
Order Complete (App),,ads_remove,7700,1,±èÇÇ°ï,45,GooglePlay,2025-07-31,0,12145
Order Complete (App),,ruby_2,6600,6,¾ÓÄÚ,222,GooglePlay,2025-07-26,41800,1852
Order Complete (App),,ads_remove,7700,1,¾Çµ¿¿µÀÌ,5,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,6,¾ÓÄÚ,220,GooglePlay,2025-07-26,35200,1852
Order Complete (App),,ads_remove,7700,1,²ÙÀÌÂ¯,11,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,¸êÀÌ,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,1,°ñ¶¼´Â±×³à,61,GooglePlay,2025-07-31,0,12670
Order Complete (App),,ads_remove,7700,1,LeoHan,14,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,±×¹Ê,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,13,±¤°³Åä´ëÈ²Á¦,245,GooglePlay,2025-07-19,7700,1201
Order Complete (App),,ads_remove,7700,1,¹Ì¾Æ¾Æ¾Æ¾Ë,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,1,°·¼º,68,GooglePlay,2025-07-31,30800,7431
Order Complete (App),,ruby_3,11000,13,µå·¹¿Ë,447,GooglePlay,2025-07-19,1283700,23
Order Complete (App),,ruby_4,33000,13,µå·¹¿Ë,447,GooglePlay,2025-07-19,1239700,23
Order Complete (App),,ruby_3,11000,13,minjaema,201,GooglePlay,2025-07-18,18700,2134
Order Complete (App),,ruby_4,33000,7,°¡À»ºû´Þ,267,GooglePlay,2025-07-25,337700,611
Order Complete (App),,ruby_3,11000,5,±Ç¸®,228,GooglePlay,2025-07-27,18700,1780
Order Complete (App),,ruby_2,6600,3,ÃÊÀÎ°í¾çÀÌ,244,GooglePlay,2025-07-29,195800,1296
Order Complete (App),,ruby_5,55000,13,º¹¸¶´Ï1,284,GooglePlay,2025-07-18,128700,375
Order Complete (App),,ruby_6,110000,1,¿ÁÁöÀÇ»§»§ÀÌ,137,GooglePlay,2025-07-31,117700,3482
Order Complete (App),,ruby_2,6600,13,Áö³²»ù,336,GooglePlay,2025-07-18,253000,128
Order Complete (App),,ads_remove,7700,1,ÂÊÆÄ,50,GooglePlay,2025-07-31,0,9885
Order Complete (App),,ruby_4,33000,13,µå·¹¿Ë,447,GooglePlay,2025-07-19,1239700,23
Order Complete (App),,ruby_5,55000,13,µå·¹¿Ë,447,GooglePlay,2025-07-19,1151700,23
Order Complete (App),,ruby_6,110000,13,µå·¹¿Ë,447,GooglePlay,2025-07-19,1041700,23
Order Complete (App),,ads_remove,7700,1,¿ÀÂàÂàÀÌ,6,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,P1KA,51,GooglePlay,2025-07-31,0,9578
Order Complete (App),,ruby_2,6600,5,²¿¹Ì¸ù,182,GooglePlay,2025-07-27,14300,2655
Order Complete (App),,ruby_1,1100,2,ÀåºñÃ®,24,GooglePlay,2025-07-30,7700,13001
Order Complete (App),,ruby_2,6600,2,ÀåºñÃ®,24,GooglePlay,2025-07-30,0,13001
Order Complete (App),,ruby_3,11000,12,¸·³»Å°Å°,285,GooglePlay,2025-07-20,58300,370
Order Complete (App),,ruby_6,110000,7,º½¸¶Åä,200,GooglePlay,2025-07-25,117700,2153
Order Complete (App),,ruby_2,6600,14,Èñµ¿»ï,301,GooglePlay,2025-07-17,129800,205
Order Complete (App),,ruby_3,11000,1,bbbb,150,GooglePlay,2025-07-31,25300,3262
Order Complete (App),,ruby_6,110000,7,°¡À»ºû´Þ,254,GooglePlay,2025-07-25,227700,886
Order Complete (App),,ruby_2,6600,1,ÈòÁØÀÌ,36,GooglePlay,2025-07-31,0,11629
Order Complete (App),,ruby_3,11000,15,ÃµÇÏ³­¼¼,535,GooglePlay,2025-07-16,1749000,10
Order Complete (App),,ruby_5,55000,13,Áö³²»ù,326,GooglePlay,2025-07-18,198000,150
Order Complete (App),,ruby_2,6600,3,ÇàÇà,92,GooglePlay,2025-07-29,0,5322
Order Complete (App),,ruby_3,11000,6,¿äÇÇ¿¤,274,GooglePlay,2025-07-25,182600,489
Order Complete (App),,ruby_1,1100,1,ÀÏÁö·Î¹®µæÀÌ,36,GooglePlay,2025-07-31,6600,13318
Order Complete (App),,ruby_3,11000,14,¹æ±Í²Û,310,GooglePlay,2025-07-18,191400,196
Order Complete (App),,ruby_2,6600,1,ÀÏÁö·Î¹®µæÀÌ,36,GooglePlay,2025-07-31,0,13318
Order Complete (App),,ads_remove,7700,1,½É½ÉÇÏ´Ù,16,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,14,¿øÇÊ,187,GooglePlay,2025-07-18,0,2462
Order Complete (App),,ruby_6,110000,14,Å°µå,450,GooglePlay,2025-07-18,1008700,22
Order Complete (App),,ruby_1,1100,1,°·¼º,65,GooglePlay,2025-07-31,29700,9116
Order Complete (App),,ruby_3,11000,1,°·¼º,65,GooglePlay,2025-07-31,18700,9116
Order Complete (App),,ruby_3,11000,14,¼¼ÀÌ·¯ºê,276,GooglePlay,2025-07-18,62700,471
Order Complete (App),,ruby_4,33000,15,ÁöÈñ88,291,GooglePlay,2025-07-17,86900,257
Order Complete (App),,ruby_3,11000,3,³­¼¼³­³­¼¼,115,GooglePlay,2025-07-29,117700,4330
Order Complete (App),,ruby_2,6600,13,°øÄï,251,GooglePlay,2025-07-19,7700,951
Order Complete (App),,ruby_3,11000,1,°·¼º,54,GooglePlay,2025-07-31,7700,9116
Order Complete (App),,ads_remove,7700,1,ÆäÆÄÆ÷,9,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_6,110000,3,³­¼¼³­³­¼¼,115,GooglePlay,2025-07-29,7700,4330
Order Complete (App),,ruby_4,33000,15,ÁöÈñ88,290,GooglePlay,2025-07-17,53900,266
Order Complete (App),,ads_remove,7700,1,Llama,45,GooglePlay,2025-07-31,0,10799
Order Complete (App),,ads_remove,7700,1,°í³­,11,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,6,Â«Áã,167,GooglePlay,2025-07-26,0,2950
Order Complete (App),,ruby_3,11000,14,¹æ¶û°Ë°´,342,OneStore,2025-07-17,133100,110
Order Complete (App),,ads_remove,7700,1,ÃÑÀÌ´Ô,68,GooglePlay,2025-07-31,0,7240
Order Complete (App),,ruby_3,11000,14,Ãµ»ç¿À»§,411,GooglePlay,2025-07-18,605000,40
Order Complete (App),,ruby_2,6600,12,³ª´ë´Â,255,GooglePlay,2025-07-19,22000,877
Order Complete (App),,ruby_3,11000,1,ÆßÅ²,24,GooglePlay,2025-07-31,0,13302
Order Complete (App),,ruby_3,11000,2,ÄÚ¸®¾Æse½º¸Ó½Å,76,GooglePlay,2025-07-30,69300,6884
Order Complete (App),,ruby_3,11000,2,ÄÚ¸®¾Æse½º¸Ó½Å,76,GooglePlay,2025-07-30,47300,6884
Order Complete (App),,ads_remove,7700,1,Çö±âÁõ³­´Ù°í,7,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,4,Çà¹éÀÌ,241,GooglePlay,2025-07-28,106700,1417
Order Complete (App),,ads_remove,7700,1,ÄÉÁî,24,GooglePlay,2025-07-30,0,13296
Order Complete (App),,ruby_4,33000,15,ÁöÈñ88,286,GooglePlay,2025-07-17,20900,602
Order Complete (App),,ruby_2,6600,4,Çà¹éÀÌ,236,GooglePlay,2025-07-28,100100,1417
Order Complete (App),,ruby_3,11000,3,±è»ç°ú,57,GooglePlay,2025-07-29,0,8941
Order Complete (App),,ruby_2,6600,2,ÀÌ¾ßÀÌ,92,OneStore,2025-07-30,53900,5144
Order Complete (App),,ads_remove,7700,1,¾Ë¶ó½Å,41,GooglePlay,2025-07-31,0,12098
Order Complete (App),,ruby_6,110000,13,µå·¹¿Ë,446,GooglePlay,2025-07-19,931700,26
Order Complete (App),,ruby_2,6600,8,¸ÍÀå,209,GooglePlay,2025-07-24,40700,2034
Order Complete (App),,ruby_4,33000,15,³¶¸¸Ç¥·ù±â,286,GooglePlay,2025-07-17,47300,388
Order Complete (App),,ads_remove,7700,1,Å¸¶ôÈ«±æµ¿,18,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,15,³¶¸¸Ç¥·ù±â,285,GooglePlay,2025-07-17,14300,388
Order Complete (App),,ads_remove,7700,1,°·¼º,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,3,ÀÏÇØ¶óÁ¤Â÷Àå,225,GooglePlay,2025-07-29,133100,1771
Order Complete (App),,ruby_5,55000,14,Å°µå,447,GooglePlay,2025-07-18,953700,28
Order Complete (App),,ruby_6,110000,13,µå·¹¿Ë,444,GooglePlay,2025-07-19,821700,26
Order Complete (App),,ruby_6,110000,14,Å°µå,440,GooglePlay,2025-07-18,843700,28
Order Complete (App),,ruby_6,110000,14,Å°µå,440,GooglePlay,2025-07-18,733700,28
Order Complete (App),,ads_remove,7700,4,¿ÈÄ¡,112,GooglePlay,2025-07-27,0,4377
Order Complete (App),,ruby_3,11000,13,´ë¸í,398,GooglePlay,2025-07-19,492800,43
Order Complete (App),,ruby_6,110000,13,´ë¸í,398,GooglePlay,2025-07-19,382800,43
Order Complete (App),,ruby_6,110000,2,Å×Çó,121,GooglePlay,2025-07-30,7700,4176
Order Complete (App),,ruby_3,11000,9,Â¥Àå¸éÇ¥·ù±â,234,GooglePlay,2025-07-23,62700,1571
Order Complete (App),,ruby_4,33000,2,¸¶´ÃÂÐ,138,GooglePlay,2025-07-30,128700,4208
Order Complete (App),,ads_remove,7700,1,¿îÁü,20,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_5,55000,10,Å´Çô³ë,395,GooglePlay,2025-07-22,842600,49
Order Complete (App),,ruby_3,11000,1,¿¬µÎÀ¯,68,GooglePlay,2025-07-30,7700,8217
Order Complete (App),,ruby_6,110000,1,¿ÁÁöÀÇ»§»§ÀÌ,34,GooglePlay,2025-07-31,7700,12350
Order Complete (App),,ads_remove,7700,4,¼±ÇÑ¿ë,120,GooglePlay,2025-07-28,0,3866
Order Complete (App),,ruby_3,11000,14,¹æ±Í²Û,300,GooglePlay,2025-07-18,180400,218
Order Complete (App),,ads_remove,7700,1,µµ»çÈ«±æµ¿,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_5,55000,2,¸¶´ÃÂÐ,118,GooglePlay,2025-07-30,73700,4208
Order Complete (App),,ruby_4,33000,5,ÃÊÄÚÄ¨,135,GooglePlay,2025-07-26,7700,3703
Order Complete (App),,ruby_3,11000,4,Çà¹éÀÌ,227,GooglePlay,2025-07-28,89100,1638
Order Complete (App),,ads_remove,7700,1,Â«Âî,57,GooglePlay,2025-07-31,0,9256
Order Complete (App),,ads_remove,7700,1,Loosie,47,GooglePlay,2025-07-31,0,10424
Order Complete (App),,ads_remove,7700,1,NUGUNI,9,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,²Üµµ»ç,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_1,1100,6,À¯ÄÉÀÌ,256,GooglePlay,2025-07-26,75900,823
Order Complete (App),,ruby_1,1100,6,À¯ÄÉÀÌ,256,GooglePlay,2025-07-26,75900,823
Order Complete (App),,ruby_1,1100,6,À¯ÄÉÀÌ,256,GooglePlay,2025-07-26,73700,823
Order Complete (App),,ruby_6,110000,10,Å´Çô³ë,389,GooglePlay,2025-07-22,732600,49
Order Complete (App),,ruby_6,110000,10,Å´Çô³ë,389,GooglePlay,2025-07-22,622600,49
Order Complete (App),,ads_remove,7700,2,¿©ÇØÀÌ¼ø½Å,111,GooglePlay,2025-07-30,0,4452
Order Complete (App),,ruby_2,6600,6,µð¾Æ¶õ,269,GooglePlay,2025-07-26,402600,549
Order Complete (App),,ads_remove,7700,1,¼ÕµµÀÌ,5,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,À±ÇÏ¸°,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,14,°üÀýÀÌ¾ÆÇÁ±¸³ª,325,GooglePlay,2025-07-18,179300,157
Order Complete (App),,ruby_4,33000,8,¾Æµ¹ÀÌ,269,GooglePlay,2025-07-24,193600,549
Order Complete (App),,ads_remove,7700,1,±¸·ç¹Ì,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ads_remove,7700,1,¿ÁÁöÀÇ»§»§ÀÌ,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,6,µµÄ¡¾ß,286,GooglePlay,2025-07-16,293700,324
Order Complete (App),,ads_remove,7700,1,µÓµÎµÓ,41,GooglePlay,2025-07-31,0,11458
Order Complete (App),,ruby_6,110000,3,¾ÏºÎ,392,GooglePlay,2025-07-29,1327700,46
Order Complete (App),,ads_remove,7700,10,freen,147,GooglePlay,2025-07-19,0,3232
Order Complete (App),,ads_remove,7700,1,¹ÚÁö»×,71,GooglePlay,2025-07-30,0,7195
Order Complete (App),,ruby_3,11000,1,ÇÏ°õÅÊ,84,GooglePlay,2025-07-31,62700,6076
Order Complete (App),,ruby_3,11000,4,¾÷Àû,195,GooglePlay,2025-07-28,29700,2180
Order Complete (App),,ruby_5,55000,3,ÃÊÀÎ°í¾çÀÌ,200,GooglePlay,2025-07-29,140800,2089
Order Complete (App),,ruby_1,1100,1,ºÎºñÆ®·¦,56,GooglePlay,2025-07-31,7700,9240
Order Complete (App),,ruby_2,6600,1,ºÎºñÆ®·¦,56,GooglePlay,2025-07-31,0,9240
Order Complete (App),,ruby_6,110000,7,·ÎÇÏÀÌ,289,GooglePlay,2025-07-25,451000,413
Order Complete (App),,ruby_5,55000,10,Á¶³ëºñ,300,GooglePlay,2025-07-21,249700,205
Order Complete (App),,ruby_2,6600,6,¿ÀÅÂ½ÄÀÌ,248,GooglePlay,2025-07-26,96800,1047
Order Complete (App),,ruby_5,55000,7,·ÎÇÏÀÌ,289,GooglePlay,2025-07-25,396000,413
Order Complete (App),,ads_remove,7700,1,µ¿¸Æ,5,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,12,ÇÏ¾ß¾È,306,GooglePlay,2025-07-20,201300,207
Order Complete (App),,ads_remove,7700,1,¶÷½ºÅ°,8,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_2,6600,9,µð¿ÍÀÌ,225,GooglePlay,2025-07-21,20900,1802
Order Complete (App),,ruby_4,33000,13,º¹½Ç,299,GooglePlay,2025-07-19,46200,206
Order Complete (App),,ruby_3,11000,2,roki,118,GooglePlay,2025-07-30,69300,4024
Order Complete (App),,ruby_3,11000,12,ÇÏ¾ß¾È,300,GooglePlay,2025-07-20,190300,207
Order Complete (App),,ruby_3,11000,5,¾Æ·ç¸¾,288,GooglePlay,2025-07-26,143000,272
Order Complete (App),,ruby_4,33000,5,¾Æ·ç¸¾,288,GooglePlay,2025-07-26,110000,272
Order Complete (App),,ads_remove,7700,1,½½ÇÂ±â´Ù¸²,11,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_3,11000,12,ÇÏ¾ß¾È,298,GooglePlay,2025-07-20,179300,207
Order Complete (App),,ruby_2,6600,1,±Ý¿äÀÏ,105,GooglePlay,2025-07-30,25300,4551
Order Complete (App),,ruby_1,1100,12,½¬¹ã²¨,397,GooglePlay,2025-07-19,996600,44
Order Complete (App),,ruby_1,1100,12,½¬¹ã²¨,397,GooglePlay,2025-07-19,995500,44
Order Complete (App),,ruby_2,6600,12,½¬¹ã²¨,397,GooglePlay,2025-07-19,987800,44
Order Complete (App),,ruby_3,11000,12,½¬¹ã²¨,397,GooglePlay,2025-07-19,976800,44
Order Complete (App),,ruby_3,11000,10,¿ö¸®½º,263,GooglePlay,2025-07-22,115500,712
Order Complete (App),,ruby_3,11000,10,¿ö¸®½º,263,GooglePlay,2025-07-22,93500,712
Order Complete (App),,ads_remove,7700,1,ÅÂÅÂµµ,4,GooglePlay,2025-07-31,0,99999999
Order Complete (App),,ruby_4,33000,15,ÀÀ¾ÆÄÚ,329,GooglePlay,2025-07-17,317900,133
Order Complete (App),,ads_remove,7700,3,À¯¿øÁö½º½Å,55,GooglePlay,2025-07-29,0,8791
Order Complete (App),,ruby_2,6600,3,ÃÊÀÎ°í¾çÀÌ,186,GooglePlay,2025-07-29,134200,2510
Order Complete (App),,ruby_3,11000,15,ÀÀ¾ÆÄÚ,329,GooglePlay,2025-07-17,306900,133
