Event Category,,Product ID,Product Price,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,Preminum_Product__1,770,3,afoccert,76,6717,0,1,GooglePlay,2025-08-28,7700,10165
ItemPurchased (App),,Preminum_Product__2,1980,12,복장군,168,191694,1320,1,OneStore,2025-08-19,40700,5926
ItemPurchased (App),,Sudden_Product_Weapon__0,330,4,나르는곰탱이,128,80162,0,1,GooglePlay,2025-08-28,14300,6679
ItemPurchased (App),,account_Product_draw_5__1,550,332,꿈쥐,1078,1637179,6820,0,OneStore,2024-10-02,667700,12
ItemPurchased (App),,Sudden_Product_Hero2__0,330,6,소쩍새,196,12445,0,1,GooglePlay,2025-08-26,97900,4903
ItemPurchased (App),,Preminum_Product__1,770,3,화평이,93,2453,0,1,GooglePlay,2025-08-29,7700,8326
ItemPurchased (App),,Preminum_Product__2,1980,43,DoorTin,398,31443,1320,1,GooglePlay,2025-07-20,40700,549
ItemPurchased (App),,Sudden_Product_Weapon__0,330,2,리튜보,146,100554,0,1,GooglePlay,2025-08-30,22000,6208
ItemPurchased (App),,Sudden_Product_Hero2__0,330,2,리튜보,146,86554,330,1,GooglePlay,2025-08-30,22000,6208
ItemPurchased (App),,account_Product_draw_4__0,110,2,리튜보,146,33554,0,1,GooglePlay,2025-08-30,15400,6208
ItemPurchased (App),,account_Product_draw_3__0,110,2,리튜보,146,29554,0,1,GooglePlay,2025-08-30,14300,6208
ItemPurchased (App),,account_Product_draw_1__1,110,2,리튜보,146,25554,110,1,GooglePlay,2025-08-30,14300,6208
ItemPurchased (App),,account_Product_draw_0__1,110,2,리튜보,146,21554,220,1,GooglePlay,2025-08-30,14300,6208
ItemPurchased (App),,Sudden_Product_Hero1__0,330,2,리튜보,146,17554,330,1,GooglePlay,2025-08-30,14300,6208
ItemPurchased (App),,(1)_account_Product_7__3,11000,30,소담소민,907,1004337,770,1,GooglePlay,2025-08-01,6050000,5
ItemPurchased (App),,Sudden_Product_Growth1__5,1100,31,이순신표류기,388,296682,0,1,GooglePlay,2025-08-01,370700,691
ItemPurchased (App),,account_Product_draw_4__0,110,43,llllIIII,348,198018,0,1,GooglePlay,2025-07-19,17600,1529
