Event Category,,Product ID,Product Price,"{""a_attendance_count""",a_user_name,a_user_stage,b.diamond,b.ruby,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_1,1100,3,afoccert,76,6717,770,1,GooglePlay,2025-08-28,7700,10165
Order Complete (App),,ruby_2,6600,3,afoccert,76,6717,0,1,GooglePlay,2025-08-28,0,10165
Order Complete (App),,ads_remove,7700,1,안녕경환,37,160301,0,1,GooglePlay,2025-08-31,0,16921
Order Complete (App),,ruby_4,33000,12,복장군,168,107619,3300,1,OneStore,2025-08-19,40700,5926
Order Complete (App),,ruby_1,1100,3,화평이,93,2453,770,1,GooglePlay,2025-08-29,7700,8326
Order Complete (App),,ruby_2,6600,3,화평이,93,2453,0,1,GooglePlay,2025-08-29,0,8326
Order Complete (App),,ads_remove,7700,1,소당,52,269610,0,1,GooglePlay,2025-08-31,0,16152
Order Complete (App),,ads_remove,7700,1,한절이,36,31220,0,1,GooglePlay,2025-08-31,0,19466
Order Complete (App),,ruby_4,33000,43,DoorTin,398,443,0,1,GooglePlay,2025-07-20,7700,549
Order Complete (App),,ads_remove,7700,1,히야라고,5,8000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ads_remove,7700,1,멍구,9,18000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ads_remove,7700,2,ValaV,53,180146,0,1,GooglePlay,2025-08-30,0,15127
Order Complete (App),,ads_remove,7700,1,메옹,5,9000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ruby_2,6600,2,리튜보,146,74554,0,1,GooglePlay,2025-08-30,15400,6208
Order Complete (App),,ads_remove,7700,1,4441,18,74690,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ruby_1,1100,2,리튜보,146,29554,0,1,GooglePlay,2025-08-30,14300,6208
Order Complete (App),,ruby_2,6600,2,리튜보,146,5554,0,1,GooglePlay,2025-08-30,7700,6208
Order Complete (App),,ads_remove,7700,1,천영수,49,61677,0,1,GooglePlay,2025-08-31,0,14968
Order Complete (App),,ruby_6,110000,30,소담소민,907,4337,770,1,GooglePlay,2025-08-01,5940000,5
Order Complete (App),,ruby_3,11000,31,이순신표류기,388,248682,0,1,GooglePlay,2025-08-01,359700,691
Order Complete (App),,ruby_3,11000,29,동물의왕흑인,296,990,0,1,GooglePlay,2025-08-02,25300,2303
Order Complete (App),,ruby_2,6600,43,llllIIII,348,124018,0,1,GooglePlay,2025-07-19,11000,1529
Order Complete (App),,ruby_2,6600,37,유케이,435,2903,550,1,GooglePlay,2025-07-26,121000,305
Order Complete (App),,ads_remove,7700,1,용켕렝승,4,8000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ads_remove,7700,1,하인츠,9,20000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ruby_2,6600,6,소쩍새,196,35540,0,1,GooglePlay,2025-08-26,91300,4976
Order Complete (App),,ads_remove,7700,1,킴꺼벙,5,10000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ruby_5,55000,17,먼지아빠,392,4868,0,1,GooglePlay,2025-08-15,473000,615
Order Complete (App),,ruby_3,11000,38,단다단다,386,1313,0,1,GooglePlay,2025-07-25,7700,780
Order Complete (App),,ads_remove,7700,1,감자공장장,11,139000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ads_remove,7700,1,백복치,4,8000,0,1,GooglePlay,2025-08-31,0,99999999
Order Complete (App),,ruby_5,55000,28,BADA,453,3441,0,1,GooglePlay,2025-08-04,564300,184
Order Complete (App),,ruby_2,6600,38,rubidu,490,1050,0,1,GooglePlay,2025-07-25,374000,124
Order Complete (App),,ads_remove,7700,1,호니호니,5,8000,0,1,GooglePlay,2025-08-31,0,99999999
