"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_350 (App)","W:21_0A:20_0","34","{""attendance_count"":34,""b.diamond"":13731,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-28"",""total_payment_amount"":51700,""user_name"":""난깡"",""user_rank"":1479,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:20_0","24","{""attendance_count"":24,""b.diamond"":16200,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-08"",""total_payment_amount"":7700,""user_name"":""반야"",""user_rank"":1500,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","31","{""attendance_count"":31,""b.diamond"":24975,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-18"",""total_payment_amount"":7700,""user_name"":""너하고"",""user_rank"":1477,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:22_0","44","{""attendance_count"":44,""b.diamond"":281067,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-19"",""total_payment_amount"":7700,""user_name"":""오오오냐"",""user_rank"":1477,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:19_0","29","{""attendance_count"":29,""b.diamond"":514684,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-03"",""total_payment_amount"":7700,""user_name"":""유라온"",""user_rank"":1475,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:19_0","36","{""attendance_count"":36,""b.diamond"":90312,""b.ruby"":330,""curserver"":1,""install_day"":""2025-07-27"",""total_payment_amount"":40700,""user_name"":""은우은성"",""user_rank"":1463,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:22_0","34","{""attendance_count"":34,""b.diamond"":216694,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-26"",""total_payment_amount"":7700,""user_name"":""오티만"",""user_rank"":1563,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:19_0","37","{""attendance_count"":37,""b.diamond"":156634,""b.ruby"":110,""curserver"":1,""install_day"":""2025-07-18"",""total_payment_amount"":18700,""user_name"":""소붕"",""user_rank"":1493,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:23_0","56","{""attendance_count"":56,""b.diamond"":1940354,""b.ruby"":0,""curserver"":0,""install_day"":""2024-12-13"",""total_payment_amount"":7700,""user_name"":""순똘이"",""user_rank"":1396,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:22_0","35","{""attendance_count"":35,""b.diamond"":193368,""b.ruby"":550,""curserver"":1,""install_day"":""2025-07-28"",""total_payment_amount"":33000,""user_name"":""철인28호"",""user_rank"":1490,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:20_0","43","{""attendance_count"":43,""b.diamond"":1770360,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-21"",""total_payment_amount"":7700,""user_name"":""애도"",""user_rank"":1468,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","34","{""attendance_count"":34,""b.diamond"":3428,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-29"",""total_payment_amount"":7700,""user_name"":""빠죵"",""user_rank"":1464,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:20_0","39","{""attendance_count"":39,""b.diamond"":48543,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-23"",""total_payment_amount"":7700,""user_name"":""kjerry12"",""user_rank"":1485,""user_stage"":350}"
"stage_reached_350 (App)","W:21_0A:19_0","24","{""attendance_count"":24,""b.diamond"":11188,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-08"",""total_payment_amount"":7700,""user_name"":""중전경라"",""user_rank"":1516,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","35","{""attendance_count"":35,""b.diamond"":122265,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-28"",""total_payment_amount"":7700,""user_name"":""몽콩장군"",""user_rank"":1484,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:20_0","41","{""attendance_count"":41,""b.diamond"":113618,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-21"",""total_payment_amount"":7700,""user_name"":""박수"",""user_rank"":1463,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","29","{""attendance_count"":29,""b.diamond"":9791,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-03"",""total_payment_amount"":7700,""user_name"":""도르섬"",""user_rank"":1463,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:20_0","31","{""attendance_count"":31,""b.diamond"":42389,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-24"",""total_payment_amount"":19800,""user_name"":""순신좌"",""user_rank"":1511,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","27","{""attendance_count"":27,""b.diamond"":197464,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-05"",""total_payment_amount"":143000,""user_name"":""대도너구리"",""user_rank"":1538,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:22_0","34","{""attendance_count"":34,""b.diamond"":4812,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-29"",""total_payment_amount"":7700,""user_name"":""HG"",""user_rank"":1459,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:19_0","42","{""attendance_count"":42,""b.diamond"":7683,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-20"",""total_payment_amount"":7700,""user_name"":""아싸사랑이"",""user_rank"":1536,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:22_0","38","{""attendance_count"":38,""b.diamond"":3474,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-25"",""total_payment_amount"":7700,""user_name"":""장세현"",""user_rank"":1455,""user_stage"":350}"
"stage_reached_350 (App)","W:21_0A:20_0","37","{""attendance_count"":37,""b.diamond"":2359,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-25"",""total_payment_amount"":70400,""user_name"":""Tien"",""user_rank"":1454,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","27","{""attendance_count"":27,""b.diamond"":633,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-05"",""total_payment_amount"":77000,""user_name"":""백초거"",""user_rank"":1471,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:21_0","29","{""attendance_count"":29,""b.diamond"":22909,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-01"",""total_payment_amount"":7700,""user_name"":""읭용"",""user_rank"":1452,""user_stage"":350}"
"stage_reached_350 (App)","W:20_0A:19_0","26","{""attendance_count"":26,""b.diamond"":9314,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-06"",""total_payment_amount"":7700,""user_name"":""아무거다"",""user_rank"":1474,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:21_0","30","{""attendance_count"":30,""b.diamond"":122360,""b.ruby"":0,""curserver"":1,""install_day"":""2025-08-02"",""total_payment_amount"":7700,""user_name"":""Leta"",""user_rank"":1453,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:22_0","32","{""attendance_count"":32,""b.diamond"":27991,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-28"",""total_payment_amount"":7700,""user_name"":""보통의하루"",""user_rank"":1502,""user_stage"":350}"
"stage_reached_350 (App)","W:23_0A:22_0","42","{""attendance_count"":42,""b.diamond"":24358,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-17"",""total_payment_amount"":7700,""user_name"":""보리보리피쉬"",""user_rank"":1451,""user_stage"":350}"
"stage_reached_350 (App)","W:22_0A:19_0","31","{""attendance_count"":31,""b.diamond"":165681,""b.ruby"":0,""curserver"":1,""install_day"":""2025-07-27"",""total_payment_amount"":7700,""user_name"":""홍딴"",""user_rank"":1449,""user_stage"":350}"
