"Event Category","Custom Event Properties","Product ID","Product Price"
"Order Complete (App)","{""Time"":""2025-10-31 23:45:43"",""UserUUID"":""84588300-7d9f-11ef-80a7-d5c490a34fc1"",""a_attendance_count"":207,""a_user_name"":""styles7"",""a_user_stage"":852,""b.diamond"":34754,""b.ruby"":1980,""boxAllCount"":34110,""curserver"":0,""iap_platform"":""OneStore"",""install_day"":""2024-09-28"",""total_payment_amount"":94600,""user_rank"":125}","ruby_1",1100
"Order Complete (App)","{""Time"":""2025-10-31 23:45:29"",""UserUUID"":""84588300-7d9f-11ef-80a7-d5c490a34fc1"",""a_attendance_count"":207,""a_user_name"":""styles7"",""a_user_stage"":852,""b.diamond"":34754,""b.ruby"":1870,""boxAllCount"":34110,""curserver"":0,""iap_platform"":""OneStore"",""install_day"":""2024-09-28"",""total_payment_amount"":93500,""user_rank"":125}","ruby_1",1100
"Order Complete (App)","{""Time"":""2025-10-31 23:44:33"",""UserUUID"":""84588300-7d9f-11ef-80a7-d5c490a34fc1"",""a_attendance_count"":207,""a_user_name"":""styles7"",""a_user_stage"":852,""b.diamond"":4654,""b.ruby"":1760,""boxAllCount"":34110,""curserver"":0,""iap_platform"":""OneStore"",""install_day"":""2024-09-28"",""total_payment_amount"":92400,""user_rank"":125}","ruby_2",6600
"Order Complete (App)","{""Time"":""2025-10-31 23:44:15"",""UserUUID"":""84588300-7d9f-11ef-80a7-d5c490a34fc1"",""a_attendance_count"":207,""a_user_name"":""styles7"",""a_user_stage"":852,""b.diamond"":4654,""b.ruby"":1100,""boxAllCount"":34110,""curserver"":0,""iap_platform"":""OneStore"",""install_day"":""2024-09-28"",""total_payment_amount"":85800,""user_rank"":125}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 23:35:02"",""UserUUID"":""026058e0-b07b-11f0-858c-71f67678eb25"",""a_attendance_count"":8,""a_user_name"":""느그웅"",""a_user_stage"":268,""b.diamond"":238302,""b.ruby"":220,""boxAllCount"":1530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-24"",""total_payment_amount"":124300,""user_rank"":3205}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 23:24:57"",""UserUUID"":""8f660ca0-b664-11f0-896c-87c849c8485b"",""a_attendance_count"":1,""a_user_name"":""실뭉"",""a_user_stage"":5,""b.diamond"":8000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""Time"":""2025-10-31 23:25:02"",""UserUUID"":""13f74790-62b9-11f0-839f-d97137a128f6"",""a_attendance_count"":107,""a_user_name"":""권대훈"",""a_user_stage"":746,""b.diamond"":50568,""b.ruby"":660,""boxAllCount"":14570,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2025-07-17"",""total_payment_amount"":94600,""user_rank"":163}","ruby_1",1100
"Order Complete (App)","{""Time"":""2025-10-31 23:21:31"",""UserUUID"":""0070a5e0-6f98-11f0-9dc6-c740e199e4f0"",""a_attendance_count"":91,""a_user_name"":""무랭이"",""a_user_stage"":878,""b.diamond"":553403,""b.ruby"":0,""boxAllCount"":11260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-02"",""total_payment_amount"":1102200,""user_rank"":65}","ruby_4",33000
"Order Complete (App)","{""Time"":""2025-10-31 23:19:21"",""UserUUID"":""2d6a01b0-9c64-11f0-9bc3-fd0e38cb9852"",""a_attendance_count"":33,""a_user_name"":""대물천하"",""a_user_stage"":247,""b.diamond"":25407,""b.ruby"":0,""boxAllCount"":3900,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-28"",""total_payment_amount"":0,""user_rank"":3562}","ads_remove",7700
"Order Complete (App)","{""Time"":""2025-10-31 23:13:12"",""UserUUID"":""ac69af90-643f-11f0-a17e-b17c10bc01ed"",""a_attendance_count"":105,""a_user_name"":""송송송"",""a_user_stage"":751,""b.diamond"":3266,""b.ruby"":110,""boxAllCount"":13540,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":335500,""user_rank"":160}","ruby_2",6600
"Order Complete (App)","{""Time"":""2025-10-31 23:07:54"",""UserUUID"":""da02daf0-a9cf-11f0-9071-057807d9a290"",""a_attendance_count"":17,""a_user_name"":""징어"",""a_user_stage"":299,""b.diamond"":383262,""b.ruby"":1100,""boxAllCount"":3630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-15"",""total_payment_amount"":150700,""user_rank"":2898}","ruby_6",110000
"Order Complete (App)","{""Time"":""2025-10-31 23:06:21"",""UserUUID"":""ac69af90-643f-11f0-a17e-b17c10bc01ed"",""a_attendance_count"":105,""a_user_name"":""송송송"",""a_user_stage"":751,""b.diamond"":466,""b.ruby"":110,""boxAllCount"":13530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-19"",""total_payment_amount"":324500,""user_rank"":160}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 23:05:25"",""UserUUID"":""a331f040-b660-11f0-a7cc-ad13ac8ef2b6"",""a_attendance_count"":1,""a_user_name"":""상길"",""a_user_stage"":10,""b.diamond"":131000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""Time"":""2025-10-31 22:58:32"",""UserUUID"":""0070a5e0-6f98-11f0-9dc6-c740e199e4f0"",""a_attendance_count"":91,""a_user_name"":""무랭이"",""a_user_stage"":878,""b.diamond"":481878,""b.ruby"":0,""boxAllCount"":11260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-02"",""total_payment_amount"":1069200,""user_rank"":70}","ruby_4",33000
"Order Complete (App)","{""Time"":""2025-10-31 22:52:36"",""UserUUID"":""da02daf0-a9cf-11f0-9071-057807d9a290"",""a_attendance_count"":17,""a_user_name"":""징어"",""a_user_stage"":286,""b.diamond"":193462,""b.ruby"":0,""boxAllCount"":3630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-15"",""total_payment_amount"":40700,""user_rank"":2898}","ruby_6",110000
"Order Complete (App)","{""Time"":""2025-10-31 22:38:37"",""UserUUID"":""5bf3c9d0-b65e-11f0-a09d-afd12786942f"",""a_attendance_count"":1,""a_user_name"":""새우만두"",""a_user_stage"":4,""b.diamond"":8000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""Time"":""2025-10-31 22:28:58"",""UserUUID"":""22584f70-a0ab-11f0-a99a-835a3aaa295b"",""a_attendance_count"":28,""a_user_name"":""니카루피지지"",""a_user_stage"":346,""b.diamond"":1429,""b.ruby"":0,""boxAllCount"":6650,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-03"",""total_payment_amount"":110000,""user_rank"":2389}","ruby_2",6600
"Order Complete (App)","{""Time"":""2025-10-31 22:20:06"",""UserUUID"":""a43249e0-b60b-11f0-8223-012f005fb972"",""a_attendance_count"":1,""a_user_name"":""투구타"",""a_user_stage"":93,""b.diamond"":2581,""b.ruby"":0,""boxAllCount"":1820,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-31"",""total_payment_amount"":7700,""user_rank"":5189}","ruby_2",6600
"Order Complete (App)","{""Time"":""2025-10-31 22:09:25"",""UserUUID"":""918e48c0-861d-11f0-a8d9-3dca325c07ed"",""a_attendance_count"":62,""a_user_name"":""안녕경환"",""a_user_stage"":488,""b.diamond"":4802,""b.ruby"":0,""boxAllCount"":4350,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-31"",""total_payment_amount"":7700,""user_rank"":1265}","ruby_5",55000
"Order Complete (App)","{""Time"":""2025-10-31 22:04:22"",""UserUUID"":""c7923330-b658-11f0-a787-653fa926dff5"",""a_attendance_count"":1,""a_user_name"":""망자"",""a_user_stage"":9,""b.diamond"":21000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-31"",""total_payment_amount"":0,""user_rank"":99999999}","ads_remove",7700
"Order Complete (App)","{""Time"":""2025-10-31 22:03:11"",""UserUUID"":""bc6e8aa0-aabc-11f0-8a5d-5fa60b653a75"",""a_attendance_count"":12,""a_user_name"":""퍼플e"",""a_user_stage"":381,""b.diamond"":23239,""b.ruby"":2530,""boxAllCount"":10640,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-16"",""total_payment_amount"":528000,""user_rank"":2120}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 22:01:16"",""UserUUID"":""9559c080-b500-11f0-ba7e-5f0f2fa746aa"",""a_attendance_count"":2,""a_user_name"":""별매"",""a_user_stage"":94,""b.diamond"":26108,""b.ruby"":220,""boxAllCount"":2430,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-29"",""total_payment_amount"":18700,""user_rank"":5114}","ruby_1",1100
"Order Complete (App)","{""Time"":""2025-10-31 21:59:01"",""UserUUID"":""9559c080-b500-11f0-ba7e-5f0f2fa746aa"",""a_attendance_count"":2,""a_user_name"":""별매"",""a_user_stage"":94,""b.diamond"":4308,""b.ruby"":0,""boxAllCount"":2430,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-29"",""total_payment_amount"":7700,""user_rank"":5114}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 21:58:59"",""UserUUID"":""bc6e8aa0-aabc-11f0-8a5d-5fa60b653a75"",""a_attendance_count"":12,""a_user_name"":""퍼플e"",""a_user_stage"":379,""b.diamond"":42839,""b.ruby"":330,""boxAllCount"":10490,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-16"",""total_payment_amount"":473000,""user_rank"":2120}","ruby_5",55000
"Order Complete (App)","{""Time"":""2025-10-31 21:48:49"",""UserUUID"":""e51c56b0-6711-11f0-924a-215eb8d4d8f2"",""a_attendance_count"":100,""a_user_name"":""서준아빠"",""a_user_stage"":889,""b.diamond"":2614,""b.ruby"":320,""boxAllCount"":14090,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-22"",""total_payment_amount"":1500400,""user_rank"":67}","ruby_6",110000
"Order Complete (App)","{""Time"":""2025-10-31 21:44:09"",""UserUUID"":""25aefcc0-678d-11f0-83e9-4bc733aa8455"",""a_attendance_count"":100,""a_user_name"":""dndu"",""a_user_stage"":810,""b.diamond"":3058,""b.ruby"":40,""boxAllCount"":8260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-23"",""total_payment_amount"":344300,""user_rank"":111}","ruby_4",33000
"Order Complete (App)","{""Time"":""2025-10-31 21:44:10"",""UserUUID"":""9683a530-a744-11f0-905b-8f1dec2891fc"",""a_attendance_count"":20,""a_user_name"":""뽀롱이"",""a_user_stage"":240,""b.diamond"":130044,""b.ruby"":550,""boxAllCount"":14630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-12"",""total_payment_amount"":58300,""user_rank"":3586}","ruby_3",11000
"Order Complete (App)","{""Time"":""2025-10-31 21:43:02"",""UserUUID"":""9683a530-a744-11f0-905b-8f1dec2891fc"",""a_attendance_count"":20,""a_user_name"":""뽀롱이"",""a_user_stage"":240,""b.diamond"":130044,""b.ruby"":550,""boxAllCount"":14630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-12"",""total_payment_amount"":25300,""user_rank"":3586}","ruby_4",33000
"Order Complete (App)","{""Time"":""2025-10-31 21:17:33"",""UserUUID"":""f6206000-b004-11f0-8caf-0ba47c2801f8"",""a_attendance_count"":9,""a_user_name"":""루시아츠"",""a_user_stage"":119,""b.diamond"":20825,""b.ruby"":770,""boxAllCount"":2520,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-23"",""total_payment_amount"":7700,""user_rank"":4810}","ruby_1",1100
"Order Complete (App)","{""Time"":""2025-10-31 21:17:05"",""UserUUID"":""f6206000-b004-11f0-8caf-0ba47c2801f8"",""a_attendance_count"":9,""a_user_name"":""루시아츠"",""a_user_stage"":119,""b.diamond"":20825,""b.ruby"":0,""boxAllCount"":2520,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-23"",""total_payment_amount"":0,""user_rank"":4810}","ruby_2",6600
"Order Complete (App)","{""Time"":""2025-10-31 20:47:55"",""UserUUID"":""77e13190-aec6-11f0-83a9-75cd8738bd47"",""a_attendance_count"":10,""a_user_name"":""harang"",""a_user_stage"":256,""b.diamond"":4527,""b.ruby"":0,""boxAllCount"":1530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-10-21"",""total_payment_amount"":11000,""user_rank"":3320}","ruby_6",110000
