Event Category,,Product ID,Product Price,"{""Time""",UserUUID,a_EventItem,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
ItemPurchased (App),,구독권2__1980,1980,2025-10-31 23:45,84588300-7d9f-11ef-80a7-d5c490a34fc1,,207,styles7,852,65754,0,34110,0,OneStore,2024-09-28,94600,125
ItemPurchased (App),,돌발_고려2__3__1100,1100,2025-10-31 23:36,026058e0-b07b-11f0-858c-71f67678eb25,,8,느그웅,268,244302,220,1530,1,GooglePlay,2025-10-24,135300,3205
ItemPurchased (App),,돌발_조선2__2__1100,1100,2025-10-31 23:34,026058e0-b07b-11f0-858c-71f67678eb25,,8,느그웅,268,238302,220,1530,1,GooglePlay,2025-10-24,124300,3205
ItemPurchased (App),,Minigame_Product_draw_7__3300,3300,2025-10-31 23:22,0070a5e0-6f98-11f0-9dc6-c740e199e4f0,,91,무랭이,878,553403,0,11260,1,GooglePlay,2025-08-02,1135200,65
ItemPurchased (App),,Minigame_Product_draw_0__550,550,2025-10-31 23:13,ac69af90-643f-11f0-a17e-b17c10bc01ed,,105,송송송,751,3266,220,13540,1,GooglePlay,2025-07-19,342100,160
ItemPurchased (App),,Minigame_Product_draw_8__3300,3300,2025-10-31 23:08,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,299,383262,2200,3630,1,GooglePlay,2025-10-15,260700,2898
ItemPurchased (App),,Minigame_Product_draw_8__3300,3300,2025-10-31 23:08,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,299,383262,5500,3630,1,GooglePlay,2025-10-15,260700,2898
ItemPurchased (App),,Minigame_Product_draw_7__3300,3300,2025-10-31 23:08,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,299,383262,8800,3630,1,GooglePlay,2025-10-15,260700,2898
ItemPurchased (App),,(기간한정 일간)입장권1__0__110,110,2025-10-31 23:07,765f3530-a762-11f0-8a45-d31b6a591896,,20,곡산,777,1269677,660,6020,1,OneStore,2025-10-12,1921700,126
ItemPurchased (App),,Minigame_Product_draw_2__1100,1100,2025-10-31 23:06,ac69af90-643f-11f0-a17e-b17c10bc01ed,,105,송송송,751,466,110,13530,1,GooglePlay,2025-07-19,335500,160
ItemPurchased (App),,Minigame_Product_draw_7__3300,3300,2025-10-31 23:05,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,296,380862,1100,3630,1,GooglePlay,2025-10-15,150700,2898
ItemPurchased (App),,Minigame_Product_draw_5__3300,3300,2025-10-31 22:58,0070a5e0-6f98-11f0-9dc6-c740e199e4f0,,91,무랭이,878,481878,0,11260,1,GooglePlay,2025-08-02,1102200,70
ItemPurchased (App),,Minigame_Product_draw_8__3300,3300,2025-10-31 22:53,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,286,323687,4400,3630,1,GooglePlay,2025-10-15,150700,2898
ItemPurchased (App),,Minigame_Product_draw_7__3300,3300,2025-10-31 22:53,da02daf0-a9cf-11f0-9071-057807d9a290,,17,징어,286,323687,7700,3630,1,GooglePlay,2025-10-15,150700,2898
ItemPurchased (App),,(기간한정 일간)입장권1__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,31429,0,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,(기간한정 일간)연구석__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,31429,110,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,(기간한정 일간)영웅__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,31429,220,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,(기간한정 일간)장비__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,26929,330,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,(기간한정 일간)다이아__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,22429,440,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,(기간한정 일간)입장권2__0__110,110,2025-10-31 22:33,22584f70-a0ab-11f0-a99a-835a3aaa295b,,28,니카루피지지,346,17929,550,6650,1,GooglePlay,2025-10-03,116600,2389
ItemPurchased (App),,돌발_던전1__0__550,550,2025-10-31 22:21,a43249e0-b60b-11f0-8223-012f005fb972,,1,투구타,93,27581,110,1880,1,GooglePlay,2025-10-31,14300,5189
