Event Category,,Product ID,Product Price,"{""Time""",UserUUID,a_attendance_count,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
Order Complete (App),,ruby_1,1100,2025-11-30 17:46,5e156310-6224-11f0-bbfd-8564365ef7ff,70,¾ÆµÐ,1540,1729625,15990,245750,1,OneStore,2025-07-16,13266400,6
Order Complete (App),,ruby_1,1100,2025-11-30 17:46,5e156310-6224-11f0-bbfd-8564365ef7ff,70,¾ÆµÐ,1540,1729625,15880,245750,1,OneStore,2025-07-16,13265300,6
Order Complete (App),,ruby_1,1100,2025-11-30 17:28,5e156310-6224-11f0-bbfd-8564365ef7ff,70,¾ÆµÐ,1540,251213,18300,245750,1,GooglePlay,2025-07-16,12383100,7
Order Complete (App),,ads_remove,7700,2025-11-30 17:26,942a0c90-cd8a-11f0-ba71-41d6f2cf8f4d,1,kimzz,9,824,0,0,1,GooglePlay,2025-11-30,0,99999999
Order Complete (App),,ruby_1,1100,2025-11-30 17:25,5e156310-6224-11f0-bbfd-8564365ef7ff,70,¾ÆµÐ,1540,251213,18190,245750,1,GooglePlay,2025-07-16,12382000,7
Order Complete (App),,ruby_3,11000,2025-11-30 16:56,28386d90-cda5-11f0-9849-731cdd0a8d80,1,µÎ¿ì·ç,48,10234,0,1080,1,GooglePlay,2025-11-30,0,8736
Order Complete (App),,ads_remove,7700,2025-11-30 16:33,d781dad0-cdbd-11f0-9031-817f05c22d3b,1,¸¸µÎº¼ÅÊ,8,19000,0,0,1,GooglePlay,2025-11-30,0,99999999
Order Complete (App),,ruby_4,33000,2025-11-30 16:32,ef56db60-6391-11f0-8ad1-495afdf38cf0,129,µü½ê,1016,96128,270,16350,1,GooglePlay,2025-07-18,698500,65
Order Complete (App),,ruby_1,1100,2025-11-30 16:27,65aa1c80-7c3a-11f0-b261-596b45603cca,105,¹Ú¹ü,785,28677,220,11000,1,OneStore,2025-08-18,124300,358
Order Complete (App),,ruby_1,1100,2025-11-30 16:27,65aa1c80-7c3a-11f0-b261-596b45603cca,105,¹Ú¹ü,785,28677,110,11000,1,OneStore,2025-08-18,123200,358
Order Complete (App),,ruby_3,11000,2025-11-30 16:02,0e6915f0-c6ba-11f0-9bf1-7bcba8fcdbf5,10,´Ä±â½È´Ù,232,3802,0,1530,1,GooglePlay,2025-11-21,9900,4248
Order Complete (App),,ruby_3,11000,2025-11-30 16:00,e91894d0-ca1d-11f0-9f1b-c982aae6f004,5,Ç»ÅÙ,182,8513,0,3830,1,GooglePlay,2025-11-25,18700,4844
Order Complete (App),,ruby_3,11000,2025-11-30 15:30,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,¿ÕÇö,465,2983,0,6440,1,GooglePlay,2025-11-03,106700,1797
Order Complete (App),,ruby_3,11000,2025-11-30 14:32,fa3ed290-cb87-11f0-9e51-894ebf494c0d,4,smy,173,67865,0,4500,1,GooglePlay,2025-11-27,25300,5057
Order Complete (App),,ruby_4,33000,2025-11-30 14:10,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,À¯±ÝÇÊ,46,69430,0,1080,1,GooglePlay,2025-11-30,7700,9207
Order Complete (App),,ruby_3,11000,2025-11-30 13:34,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,¿ÕÇö,460,40914,0,6440,1,GooglePlay,2025-11-03,95700,1825
Order Complete (App),,ruby_6,110000,2025-11-30 13:28,84028660-c3aa-11f0-8fcb-5f96a363cd57,14,¸ÓÇÏ¼î,244,8156,0,6000,1,GooglePlay,2025-11-17,7700,4093
Order Complete (App),,ruby_3,11000,2025-11-30 13:21,b4d313d0-b84d-11f0-ae35-fff6dc9f3fce,28,¿ÕÇö,455,14439,0,6440,1,GooglePlay,2025-11-03,84700,1850
Order Complete (App),,ads_remove,7700,2025-11-30 13:19,ddaddb40-cda2-11f0-9c1f-b9d86348c7ed,1,À¯±ÝÇÊ,5,8000,0,0,1,GooglePlay,2025-11-30,0,99999999
Order Complete (App),,ads_remove,7700,2025-11-30 13:18,f225bc80-cd81-11f0-b227-efed89f34db6,1,±â´É¼º°õµ¹ÀÌ,45,118592,0,930,1,GooglePlay,2025-11-30,0,8991
Order Complete (App),,ads_remove,7700,2025-11-30 13:18,86387b90-cda2-11f0-bffd-e7c5cdf85e9d,1,°­ÁöÈ£,8,23000,0,0,1,GooglePlay,2025-11-30,0,99999999
Order Complete (App),,ruby_3,11000,2025-11-30 12:23,1d360770-c6d1-11f0-98ff-7fb8a6e16035,10,¹ÌÃµÅÂ¿Õ,227,195098,2200,4240,1,GooglePlay,2025-11-21,29700,4324
Order Complete (App),,ruby_3,11000,2025-11-30 12:22,1d360770-c6d1-11f0-98ff-7fb8a6e16035,10,¹ÌÃµÅÂ¿Õ,227,195098,0,4240,1,GooglePlay,2025-11-21,7700,4324
Order Complete (App),,ruby_4,33000,2025-11-30 12:11,349d16a0-7a83-11f0-9776-f3aff39091b6,103,fly84,545,178735,330,28030,1,GooglePlay,2025-08-16,400400,1211
Order Complete (App),,ruby_1,1100,2025-11-30 11:34,064c1710-cccc-11f0-a115-db1c4cd620d2,2,Å©·¡Ä¿,25,154126,770,600,1,GooglePlay,2025-11-29,7700,10243
Order Complete (App),,ruby_2,6600,2025-11-30 11:33,064c1710-cccc-11f0-a115-db1c4cd620d2,2,Å©·¡Ä¿,25,154126,0,600,1,GooglePlay,2025-11-29,0,10243
Order Complete (App),,ruby_3,11000,2025-11-30 11:32,6c358910-8485-11f0-b877-6b79a932a8be,94,³­¼¼17,544,598,0,18560,1,GooglePlay,2025-08-29,62700,1227
Order Complete (App),,ads_remove,7700,2025-11-30 11:21,26e06ec0-cd91-11f0-9575-df69d82ccf5d,1,´Ãº¸ÀÇÇÏ·ç,5,13000,0,0,1,GooglePlay,2025-11-30,0,99999999
Order Complete (App),,ruby_6,110000,2025-11-30 11:18,4e9ae2e0-bfd8-11f0-9fd0-ffa36ef1d1da,17,¼Ò¿À½º,312,126479,330,10010,1,GooglePlay,2025-11-12,227700,3086
