,,,,,a_attendance_count,,a_user_name,a_user_stage,b.diamond,b.ruby,boxAllCount,curserver,iap_platform,install_day,total_payment_amount,user_rank
Event Category,Product ID,Product Price,"{""Time""",UserUUID,412,a_user_name,다산,1363,769251,40580,297570,0,GooglePlay,2024-10-14,6090700,8
ItemPurchased (App),돌발_절멸타확률__7__990,990,2025-11-30 18:07,4337c5e0-7e65-11ef-8518-5fedfc5cfa32,428,a_user_name,동행,1540,1276231,1980,281300,0,OneStore,2024-09-29,6031200,2
ItemPurchased (App),돌발_절멸타데미지__1__990,990,2025-11-30 17:38,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1249513,15770,245750,1,GooglePlay,2025-07-16,13264200,6
ItemPurchased (App),돌발_절멸타확률__1__990,990,2025-11-30 17:35,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1224013,16760,245750,1,GooglePlay,2025-07-16,13264200,6
ItemPurchased (App),돌발_다이아__18__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_0__550,550,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_6__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_6__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_6__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_6__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_6__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_5__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_5__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_5__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_5__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_5__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_4__3300,3300,2025-11-30 17:30,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_4__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_4__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20060,245750,1,GooglePlay,2025-07-16,13264200,7
ItemPurchased (App),Minigame_Product_draw_4__3300,3300,2025-11-30 17:29,5e156310-6224-11f0-bbfd-8564365ef7ff,70,a_user_name,아둔,1540,1794213,20610,245750,1,GooglePlay,2025-07-16,13264200,7
