"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_300 (App)","W:20_0A:19_0","21","{""Time"":""2026-02-16 15:16:01"",""UserUUID"":""227e3440-fb7f-11f0-8c0a-cd7147313bc1"",""attendance_count"":21,""b.diamond"":3081,""b.ruby"":0,""boxAllCount"":1600,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":7700,""user_name"":""우봉산"",""user_rank"":4093,""user_stage"":300}"
"stage_reached_300 (App)","W:23_0A:20_0","25","{""Time"":""2026-02-16 14:09:44"",""UserUUID"":""1909fd80-f743-11f0-bb8c-81b49a91b612"",""attendance_count"":25,""b.diamond"":24278,""b.ruby"":0,""boxAllCount"":6380,""curserver"":1,""install_day"":""2026-01-22"",""total_payment_amount"":7700,""user_name"":""조선의국노"",""user_rank"":4082,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","19","{""Time"":""2026-02-16 11:51:50"",""UserUUID"":""1cfeaa50-fcb4-11f0-a3d3-3186477e54ef"",""attendance_count"":19,""b.diamond"":295077,""b.ruby"":110,""boxAllCount"":3100,""curserver"":1,""install_day"":""2026-01-29"",""total_payment_amount"":14300,""user_name"":""우신탕"",""user_rank"":4104,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:21_0","23","{""Time"":""2026-02-16 11:36:29"",""UserUUID"":""75857310-f9cc-11f0-b6cd-9bd81b4f52e9"",""attendance_count"":23,""b.diamond"":6192,""b.ruby"":0,""boxAllCount"":7700,""curserver"":1,""install_day"":""2026-01-25"",""total_payment_amount"":31900,""user_name"":""소주짱"",""user_rank"":4083,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:20_0","26","{""Time"":""2026-02-16 11:15:29"",""UserUUID"":""2f23e370-f779-11f0-8dcb-2d485df8e51b"",""attendance_count"":26,""b.diamond"":67539,""b.ruby"":0,""boxAllCount"":4780,""curserver"":1,""install_day"":""2026-01-22"",""total_payment_amount"":7700,""user_name"":""카멜러"",""user_rank"":4081,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:21_0","22","{""Time"":""2026-02-16 10:46:33"",""UserUUID"":""91511800-f9f5-11f0-b8fb-936d97084e85"",""attendance_count"":22,""b.diamond"":459682,""b.ruby"":0,""boxAllCount"":6390,""curserver"":1,""install_day"":""2026-01-25"",""total_payment_amount"":7700,""user_name"":""최고민수"",""user_rank"":4081,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:20_0","21","{""Time"":""2026-02-16 07:44:44"",""UserUUID"":""6400f5d0-fb2d-11f0-bcb8-5d82c10ec285"",""attendance_count"":21,""b.diamond"":12472,""b.ruby"":0,""boxAllCount"":2770,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":27500,""user_name"":""여백의"",""user_rank"":4101,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:23_0","20","{""Time"":""2026-02-16 02:36:20"",""UserUUID"":""adcab7a0-fbc8-11f0-8bba-d514e8118ef0"",""attendance_count"":20,""b.diamond"":4454,""b.ruby"":110,""boxAllCount"":5440,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":29700,""user_name"":""대연1"",""user_rank"":4079,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","20","{""Time"":""2026-02-16 01:54:35"",""UserUUID"":""04220120-fb9d-11f0-b285-c1607fa2fdf4"",""attendance_count"":20,""b.diamond"":15427,""b.ruby"":0,""boxAllCount"":3090,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":7700,""user_name"":""뱅뱅뱅"",""user_rank"":4310,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:21_0","15","{""Time"":""2026-02-16 00:09:29"",""UserUUID"":""1f678a90-0002-11f1-acf6-8f006b591c77"",""attendance_count"":15,""b.diamond"":53294,""b.ruby"":220,""boxAllCount"":13480,""curserver"":1,""install_day"":""2026-02-02"",""total_payment_amount"":95700,""user_name"":""귀연희야"",""user_rank"":4096,""user_stage"":300}"
"stage_reached_300 (App)","W:23_0A:20_0","17","{""Time"":""2026-02-15 23:26:13"",""UserUUID"":""0099a920-faaa-11f0-9e11-87645bedf02e"",""attendance_count"":17,""b.diamond"":4813,""b.ruby"":0,""boxAllCount"":10760,""curserver"":1,""install_day"":""2026-01-26"",""total_payment_amount"":73700,""user_name"":""희토"",""user_rank"":4375,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:19_0","35","{""Time"":""2026-02-15 23:05:39"",""UserUUID"":""746b0440-ef09-11f0-a8cd-815069b71426"",""attendance_count"":35,""b.diamond"":48124,""b.ruby"":0,""boxAllCount"":2010,""curserver"":1,""install_day"":""2026-01-11"",""total_payment_amount"":7700,""user_name"":""여포s"",""user_rank"":4071,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:20_0","23","{""Time"":""2026-02-15 22:00:10"",""UserUUID"":""53aa2c00-f8d1-11f0-8028-71d0f852a115"",""attendance_count"":23,""b.diamond"":274426,""b.ruby"":0,""boxAllCount"":6130,""curserver"":1,""install_day"":""2026-01-24"",""total_payment_amount"":7700,""user_name"":""드느드고"",""user_rank"":4096,""user_stage"":300}"
"stage_reached_300 (App)","W:23_0A:19_0","15","{""Time"":""2026-02-15 17:31:17"",""UserUUID"":""b2f274f0-fc51-11f0-afc4-e1a9a2488f4b"",""attendance_count"":15,""b.diamond"":6497,""b.ruby"":0,""boxAllCount"":4410,""curserver"":1,""install_day"":""2026-01-28"",""total_payment_amount"":75900,""user_name"":""호님"",""user_rank"":4074,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:21_0","23","{""Time"":""2026-02-15 13:25:35"",""UserUUID"":""2c9fca20-f8f9-11f0-949a-8d6017525a93"",""attendance_count"":23,""b.diamond"":30382,""b.ruby"":0,""boxAllCount"":8100,""curserver"":1,""install_day"":""2026-01-24"",""total_payment_amount"":7700,""user_name"":""coconutB"",""user_rank"":4108,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","26","{""Time"":""2026-02-15 10:54:03"",""UserUUID"":""9ff42890-f615-11f0-9cf0-ebb34ee19af9"",""attendance_count"":26,""b.diamond"":12570,""b.ruby"":0,""boxAllCount"":1540,""curserver"":1,""install_day"":""2026-01-20"",""total_payment_amount"":7700,""user_name"":""첼시주의자"",""user_rank"":4091,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","34","{""Time"":""2026-02-15 07:44:33"",""UserUUID"":""bf88f610-f041-11f0-8532-b5e81a15a094"",""attendance_count"":34,""b.diamond"":1064651,""b.ruby"":0,""boxAllCount"":3350,""curserver"":1,""install_day"":""2026-01-13"",""total_payment_amount"":7700,""user_name"":""스푸닝"",""user_rank"":4180,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:22_0","18","{""Time"":""2026-02-15 06:48:26"",""UserUUID"":""7534fcf0-fc9c-11f0-8cb5-f761ec76d908"",""attendance_count"":18,""b.diamond"":3738,""b.ruby"":220,""boxAllCount"":2460,""curserver"":1,""install_day"":""2026-01-28"",""total_payment_amount"":77000,""user_name"":""로오깅"",""user_rank"":4075,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","16","{""Time"":""2026-02-15 06:33:53"",""UserUUID"":""a4eb15d0-fe89-11f0-afc4-e1a9a2488f4b"",""attendance_count"":16,""b.diamond"":34707,""b.ruby"":0,""boxAllCount"":2790,""curserver"":1,""install_day"":""2026-01-31"",""total_payment_amount"":73700,""user_name"":""전뿡이잉"",""user_rank"":4089,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","15","{""Time"":""2026-02-15 03:29:57"",""UserUUID"":""0f6a7b30-fef3-11f0-a367-619edeb448c6"",""attendance_count"":15,""b.diamond"":4152,""b.ruby"":880,""boxAllCount"":2970,""curserver"":1,""install_day"":""2026-01-31"",""total_payment_amount"":73700,""user_name"":""김동규"",""user_rank"":4064,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:19_0","19","{""Time"":""2026-02-15 02:35:36"",""UserUUID"":""704b3d30-fbca-11f0-8964-7d546e3f511b"",""attendance_count"":19,""b.diamond"":16331,""b.ruby"":330,""boxAllCount"":2520,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":40700,""user_name"":""럭시"",""user_rank"":4062,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:19_0","18","{""Time"":""2026-02-15 02:01:04"",""UserUUID"":""26311620-fc5b-11f0-8d2f-f37d064c4e15"",""attendance_count"":18,""b.diamond"":7288,""b.ruby"":0,""boxAllCount"":4510,""curserver"":1,""install_day"":""2026-01-28"",""total_payment_amount"":7700,""user_name"":""강빈"",""user_rank"":4066,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:16_0","16","{""Time"":""2026-02-15 01:30:18"",""UserUUID"":""15147dd0-fe3d-11f0-a810-930f69bb283c"",""attendance_count"":16,""b.diamond"":65561,""b.ruby"":0,""boxAllCount"":2280,""curserver"":1,""install_day"":""2026-01-31"",""total_payment_amount"":117700,""user_name"":""예산킹"",""user_rank"":4087,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:20_0","30","{""Time"":""2026-02-15 00:23:36"",""UserUUID"":""d1134620-f306-11f0-a96b-85850844c33e"",""attendance_count"":30,""b.diamond"":4802,""b.ruby"":0,""boxAllCount"":11870,""curserver"":1,""install_day"":""2026-01-16"",""total_payment_amount"":7700,""user_name"":""빛경"",""user_rank"":4064,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:20_0","13","{""Time"":""2026-02-15 00:15:34"",""UserUUID"":""8ba32c00-00c5-11f1-826a-4b0ccb175146"",""attendance_count"":13,""b.diamond"":47540,""b.ruby"":0,""boxAllCount"":3820,""curserver"":1,""install_day"":""2026-02-03"",""total_payment_amount"":106700,""user_name"":""세난기류표류기"",""user_rank"":4086,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","25","{""Time"":""2026-02-14 22:05:58"",""UserUUID"":""d23a7140-f699-11f0-b372-eb99dbae67db"",""attendance_count"":25,""b.diamond"":797347,""b.ruby"":0,""boxAllCount"":1350,""curserver"":1,""install_day"":""2026-01-21"",""total_payment_amount"":7700,""user_name"":""양소"",""user_rank"":4070,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","22","{""Time"":""2026-02-14 21:31:08"",""UserUUID"":""299968c0-f658-11f0-a537-25095d807d2f"",""attendance_count"":22,""b.diamond"":37023,""b.ruby"":0,""boxAllCount"":1350,""curserver"":1,""install_day"":""2026-01-20"",""total_payment_amount"":7700,""user_name"":""쩜상"",""user_rank"":4059,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:20_0","24","{""Time"":""2026-02-14 19:45:15"",""UserUUID"":""12960630-f66f-11f0-ae80-f99c3dc65c57"",""attendance_count"":24,""b.diamond"":116176,""b.ruby"":0,""boxAllCount"":6890,""curserver"":1,""install_day"":""2026-01-21"",""total_payment_amount"":7700,""user_name"":""김철환"",""user_rank"":4092,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:20_0","23","{""Time"":""2026-02-14 11:55:48"",""UserUUID"":""1e6f8180-f858-11f0-93bc-5fb27417a361"",""attendance_count"":23,""b.diamond"":6226,""b.ruby"":0,""boxAllCount"":6490,""curserver"":1,""install_day"":""2026-01-23"",""total_payment_amount"":8800,""user_name"":""난세로"",""user_rank"":4085,""user_stage"":300}"
