"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_400 (App)","W:23_0A:20_0","33","{""Time"":""2026-02-16 22:28:57"",""UserUUID"":""727ea850-f1a0-11f0-baae-f13ffbc09287"",""attendance_count"":33,""b.diamond"":120785,""b.ruby"":0,""boxAllCount"":7130,""curserver"":1,""install_day"":""2026-01-14"",""total_payment_amount"":39600,""user_name"":""강동길"",""user_rank"":3033,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","40","{""Time"":""2026-02-16 21:32:15"",""UserUUID"":""76e40ca0-ec6e-11f0-ba07-fd0b06315cfa"",""attendance_count"":40,""b.diamond"":230454,""b.ruby"":0,""boxAllCount"":6160,""curserver"":1,""install_day"":""2026-01-08"",""total_payment_amount"":7700,""user_name"":""규려무신"",""user_rank"":3065,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","60","{""Time"":""2026-02-16 16:49:59"",""UserUUID"":""194d1b30-ce29-11f0-a2a3-c92bb341c4dc"",""attendance_count"":60,""b.diamond"":670099,""b.ruby"":0,""boxAllCount"":7950,""curserver"":1,""install_day"":""2025-11-30"",""total_payment_amount"":29700,""user_name"":""우람우람"",""user_rank"":3187,""user_stage"":400}"
"stage_reached_400 (App)","W:20_0A:20_0","18","{""Time"":""2026-02-16 15:39:00"",""UserUUID"":""7c222870-fd5b-11f0-bc60-b94598b2ad79"",""attendance_count"":18,""b.diamond"":43285,""b.ruby"":880,""boxAllCount"":6200,""curserver"":1,""install_day"":""2026-01-29"",""total_payment_amount"":315700,""user_name"":""back원1"",""user_rank"":3049,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","19","{""Time"":""2026-02-16 10:18:37"",""UserUUID"":""5db46940-ed4b-11f0-92e5-cf6622dbb87f"",""attendance_count"":19,""b.diamond"":106154,""b.ruby"":440,""boxAllCount"":7420,""curserver"":1,""install_day"":""2026-01-09"",""total_payment_amount"":300300,""user_name"":""충치"",""user_rank"":3300,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:21_0","36","{""Time"":""2026-02-15 20:24:44"",""UserUUID"":""29e39420-eee4-11f0-9c6f-0995f055ae32"",""attendance_count"":36,""b.diamond"":9288,""b.ruby"":110,""boxAllCount"":4780,""curserver"":1,""install_day"":""2026-01-11"",""total_payment_amount"":14300,""user_name"":""듀퐁"",""user_rank"":3052,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","40","{""Time"":""2026-02-15 20:17:12"",""UserUUID"":""3f6b5670-eb9c-11f0-8a6a-c936936edc67"",""attendance_count"":40,""b.diamond"":1018591,""b.ruby"":0,""boxAllCount"":9930,""curserver"":1,""install_day"":""2026-01-07"",""total_payment_amount"":58300,""user_name"":""겨리"",""user_rank"":3090,""user_stage"":400}"
"stage_reached_400 (App)","W:21_0A:19_0","39","{""Time"":""2026-02-15 19:13:46"",""UserUUID"":""d71095e0-a451-11f0-bad7-01843a7fa628"",""attendance_count"":39,""b.diamond"":921085,""b.ruby"":0,""boxAllCount"":3300,""curserver"":1,""install_day"":""2025-10-08"",""total_payment_amount"":7700,""user_name"":""박레오"",""user_rank"":3038,""user_stage"":400}"
"stage_reached_400 (App)","W:21_0A:19_0","35","{""Time"":""2026-02-15 18:39:13"",""UserUUID"":""ba9ea8c0-edbc-11f0-a452-bf100e80e993"",""attendance_count"":35,""b.diamond"":6651,""b.ruby"":0,""boxAllCount"":1560,""curserver"":1,""install_day"":""2026-01-10"",""total_payment_amount"":7700,""user_name"":""jaajae"",""user_rank"":3032,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:22_0","100","{""Time"":""2026-02-15 15:00:43"",""UserUUID"":""f99999c0-689e-11f0-9cdb-c1c00ca40d25"",""attendance_count"":100,""b.diamond"":606029,""b.ruby"":0,""boxAllCount"":19230,""curserver"":1,""install_day"":""2025-07-24"",""total_payment_amount"":0,""user_name"":""마이세나"",""user_rank"":3042,""user_stage"":400}"
