"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-02-16 22:50:19"",""UserUUID"":""b4cc9b40-0b3b-11f1-baa4-e97e00279eda"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""자우구니"",""a_user_stage"":30,""b.diamond"":114395,""b.ruby"":0,""boxAllCount"":300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":7700,""user_rank"":15935}","구독권1__770",770
"ItemPurchased (App)","{""Time"":""2026-02-16 22:20:29"",""UserUUID"":""31bb1ba0-05c8-11f1-badd-2951a3b2730f"",""a_EventItem"":"""",""a_attendance_count"":7,""a_user_name"":""도민23"",""a_user_stage"":204,""b.diamond"":110887,""b.ruby"":220,""boxAllCount"":2700,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-09"",""total_payment_amount"":17600,""user_rank"":6155}","(기간한정 일간)연구석__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 21:54:33"",""UserUUID"":""b7bce050-096d-11f1-ad7a-5f29cbada224"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""치우세상"",""a_user_stage"":146,""b.diamond"":171926,""b.ruby"":220,""boxAllCount"":1680,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":47300,""user_rank"":7115}","계정한정__조선소환__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 21:54:30"",""UserUUID"":""b7bce050-096d-11f1-ad7a-5f29cbada224"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""치우세상"",""a_user_stage"":146,""b.diamond"":169926,""b.ruby"":330,""boxAllCount"":1680,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":47300,""user_rank"":7115}","계정한정__고려소환__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 21:54:27"",""UserUUID"":""b7bce050-096d-11f1-ad7a-5f29cbada224"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""치우세상"",""a_user_stage"":146,""b.diamond"":167926,""b.ruby"":440,""boxAllCount"":1680,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":47300,""user_rank"":7115}","계정한정__갑옷소환__1__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 21:54:24"",""UserUUID"":""b7bce050-096d-11f1-ad7a-5f29cbada224"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""치우세상"",""a_user_stage"":146,""b.diamond"":166926,""b.ruby"":550,""boxAllCount"":1680,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":47300,""user_rank"":7115}","계정한정__무기소환__1__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 21:51:38"",""UserUUID"":""cee79990-fde8-11f0-b336-4b9d58aeb880"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""만맨"",""a_user_stage"":940,""b.diamond"":1120789,""b.ruby"":0,""boxAllCount"":24630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":3338500,""user_rank"":517}","돌발_다이아__6__3300",3300
"ItemPurchased (App)","{""Time"":""2026-02-16 21:51:35"",""UserUUID"":""cee79990-fde8-11f0-b336-4b9d58aeb880"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""만맨"",""a_user_stage"":940,""b.diamond"":520789,""b.ruby"":3300,""boxAllCount"":24630,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-30"",""total_payment_amount"":3338500,""user_rank"":517}","돌발_다이아__7__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-16 21:43:57"",""UserUUID"":""9aac0050-ed9c-11f0-8d1c-9f3d436e5f12"",""a_EventItem"":"""",""a_attendance_count"":38,""a_user_name"":""리스트26"",""a_user_stage"":558,""b.diamond"":26479,""b.ruby"":3630,""boxAllCount"":10310,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-01-09"",""total_payment_amount"":733700,""user_rank"":1628}","돌발_회심타확률__1__990",990
"ItemPurchased (App)","{""Time"":""2026-02-16 20:48:48"",""UserUUID"":""be349bd0-080a-11f1-ae32-531c14c5f394"",""a_EventItem"":"""",""a_attendance_count"":5,""a_user_name"":""민줄"",""a_user_stage"":151,""b.diamond"":3119,""b.ruby"":110,""boxAllCount"":3100,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-12"",""total_payment_amount"":22000,""user_rank"":6980}","(기간한정 일간)연구석__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-16 20:22:31"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":64,""b.diamond"":38961,""b.ruby"":1980,""boxAllCount"":450,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":69300,""user_rank"":10933}","돌발_무기2__0__330",330
"ItemPurchased (App)","{""Time"":""2026-02-16 20:22:16"",""UserUUID"":""6b89d890-0af4-11f1-bc77-1338a3b3c62c"",""a_EventItem"":"""",""a_attendance_count"":1,""a_user_name"":""대게짱"",""a_user_stage"":64,""b.diamond"":37961,""b.ruby"":2310,""boxAllCount"":450,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":69300,""user_rank"":10933}","돌발_무기2__2__1100",1100
