"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-16 23:51:57"",""UserUUID"":""664a8b40-9cf4-11f0-bd71-f507a97ee196"",""a_attendance_count"":334,""a_user_name"":""우라이자강"",""a_user_stage"":1056,""b.diamond"":200399641,""b.ruby"":839991310,""boxAllCount"":208460,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-09-29"",""total_payment_amount"":697400,""user_rank"":58}"
"Order Complete (App)","{""Time"":""2026-02-16 23:46:22"",""UserUUID"":""6b7ab760-0b36-11f1-9511-a56d1b15413f"",""a_attendance_count"":1,""a_user_name"":""카롱카롱"",""a_user_stage"":68,""b.diamond"":31928,""b.ruby"":0,""boxAllCount"":2410,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":10338}"
"Order Complete (App)","{""Time"":""2026-02-16 23:33:21"",""UserUUID"":""23a10c80-f765-11f0-8ce0-f37b10a8621c"",""a_attendance_count"":133,""a_user_name"":""툭캉"",""a_user_stage"":754,""b.diamond"":453345,""b.ruby"":330,""boxAllCount"":6670,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2026-01-22"",""total_payment_amount"":11000,""user_rank"":2582}"
"Order Complete (App)","{""Time"":""2026-02-16 23:26:19"",""UserUUID"":""019cdbd0-0b12-11f1-bdc5-93ed9e8228c6"",""a_attendance_count"":1,""a_user_name"":""월포"",""a_user_stage"":11,""b.diamond"":142816,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 23:15:28"",""UserUUID"":""9c1a0740-0b40-11f1-b556-db85a5625b7f"",""a_attendance_count"":1,""a_user_name"":""후추츄"",""a_user_stage"":8,""b.diamond"":16000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 22:59:07"",""UserUUID"":""36ba4150-0b3e-11f1-be8f-8bc984c2e9fd"",""a_attendance_count"":1,""a_user_name"":""우당당탕"",""a_user_stage"":7,""b.diamond"":18000,""b.ruby"":0,""boxAllCount"":0,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-02-16 22:56:38"",""UserUUID"":""5ac60d90-0b34-11f1-8b27-1be214059244"",""a_attendance_count"":1,""a_user_name"":""환타제로"",""a_user_stage"":41,""b.diamond"":2020,""b.ruby"":0,""boxAllCount"":1200,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":13701}"
"Order Complete (App)","{""Time"":""2026-02-16 22:50:16"",""UserUUID"":""b4cc9b40-0b3b-11f1-baa4-e97e00279eda"",""a_attendance_count"":1,""a_user_name"":""자우구니"",""a_user_stage"":30,""b.diamond"":114395,""b.ruby"":770,""boxAllCount"":300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":7700,""user_rank"":15935}"
"Order Complete (App)","{""Time"":""2026-02-16 22:49:25"",""UserUUID"":""b4cc9b40-0b3b-11f1-baa4-e97e00279eda"",""a_attendance_count"":1,""a_user_name"":""자우구니"",""a_user_stage"":30,""b.diamond"":114395,""b.ruby"":0,""boxAllCount"":300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":0,""user_rank"":15935}"
"Order Complete (App)","{""Time"":""2026-02-16 21:54:05"",""UserUUID"":""b7bce050-096d-11f1-ad7a-5f29cbada224"",""a_attendance_count"":3,""a_user_name"":""치우세상"",""a_user_stage"":146,""b.diamond"":165926,""b.ruby"":0,""boxAllCount"":1680,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-14"",""total_payment_amount"":40700,""user_rank"":7115}"
