"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_400 (App)","W:20_0A:19_0","34","{""Time"":""2026-02-27 03:25:57"",""UserUUID"":""7fb7a560-f9a4-11f0-acd6-3fed086fa613"",""attendance_count"":34,""b.diamond"":824057,""b.ruby"":0,""boxAllCount"":1460,""curserver"":1,""install_day"":""2026-01-25"",""total_payment_amount"":11000,""user_name"":""가라사대"",""user_rank"":3154,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:21_0","34","{""Time"":""2026-02-27 00:53:37"",""UserUUID"":""76bbc870-f985-11f0-a890-db0498c35ab7"",""attendance_count"":34,""b.diamond"":130809,""b.ruby"":0,""boxAllCount"":2970,""curserver"":1,""install_day"":""2026-01-25"",""total_payment_amount"":7700,""user_name"":""달달한당근"",""user_rank"":3226,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:19_0","45","{""Time"":""2026-02-27 00:34:02"",""UserUUID"":""1d760c90-d067-11f0-a875-7b120366cecd"",""attendance_count"":45,""b.diamond"":2997,""b.ruby"":0,""boxAllCount"":2840,""curserver"":1,""install_day"":""2025-12-03"",""total_payment_amount"":11000,""user_name"":""낙생"",""user_rank"":3126,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:21_0","44","{""Time"":""2026-02-27 00:24:18"",""UserUUID"":""00ad2950-f163-11f0-b951-8f53e605046f"",""attendance_count"":44,""b.diamond"":5136,""b.ruby"":0,""boxAllCount"":13940,""curserver"":1,""install_day"":""2026-01-14"",""total_payment_amount"":7700,""user_name"":""아녀노"",""user_rank"":3214,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:20_0","41","{""Time"":""2026-02-26 23:09:39"",""UserUUID"":""c5bd0af0-f396-11f0-b634-3b04ff98f205"",""attendance_count"":41,""b.diamond"":422768,""b.ruby"":0,""boxAllCount"":7460,""curserver"":1,""install_day"":""2026-01-17"",""total_payment_amount"":7700,""user_name"":""6Lim"",""user_rank"":3225,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:21_0","26","{""Time"":""2026-02-26 23:05:39"",""UserUUID"":""98ccdaa0-ff64-11f0-9e7b-bd95e54fc4b4"",""attendance_count"":26,""b.diamond"":25622,""b.ruby"":770,""boxAllCount"":6000,""curserver"":1,""install_day"":""2026-02-01"",""total_payment_amount"":271700,""user_name"":""웨스"",""user_rank"":3136,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:19_0","31","{""Time"":""2026-02-26 22:52:08"",""UserUUID"":""227e3440-fb7f-11f0-8c0a-cd7147313bc1"",""attendance_count"":31,""b.diamond"":7944,""b.ruby"":0,""boxAllCount"":2410,""curserver"":1,""install_day"":""2026-01-27"",""total_payment_amount"":40700,""user_name"":""우봉산"",""user_rank"":3136,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:20_0","53","{""Time"":""2026-02-26 19:12:42"",""UserUUID"":""b2a55560-e984-11f0-8ccd-17e5a7005a51"",""attendance_count"":53,""b.diamond"":1631787,""b.ruby"":0,""boxAllCount"":13940,""curserver"":1,""install_day"":""2026-01-04"",""total_payment_amount"":7700,""user_name"":""우유에취했다"",""user_rank"":3145,""user_stage"":400}"
"stage_reached_400 (App)","W:24_0A:24_0","19","{""Time"":""2026-02-26 18:17:10"",""UserUUID"":""821ccbb0-056f-11f1-8108-7730d2827ce5"",""attendance_count"":19,""b.diamond"":72004,""b.ruby"":220,""boxAllCount"":9410,""curserver"":1,""install_day"":""2026-02-09"",""total_payment_amount"":427900,""user_name"":""숩숨이"",""user_rank"":3324,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:23_0","42","{""Time"":""2026-02-26 18:06:31"",""UserUUID"":""addf4aa0-f2c0-11f0-a1cd-978128fc2294"",""attendance_count"":42,""b.diamond"":14213,""b.ruby"":0,""boxAllCount"":4340,""curserver"":1,""install_day"":""2026-01-16"",""total_payment_amount"":7700,""user_name"":""비가오는날엔"",""user_rank"":3126,""user_stage"":400}"
