"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-02-27 09:52:07"",""UserUUID"":""1e13d640-68f8-11f0-bf27-69600f7373fa"",""a_EventItem"":"""",""a_attendance_count"":221,""a_user_name"":""치우1"",""a_user_stage"":938,""b.diamond"":100840,""b.ruby"":0,""boxAllCount"":38860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-25"",""total_payment_amount"":577500,""user_rank"":621}","돌발_절멸타확률__8__990",990
"ItemPurchased (App)","{""Time"":""2026-02-27 09:47:11"",""UserUUID"":""da946790-0bae-11f1-a76e-b16d35131182"",""a_EventItem"":"""",""a_attendance_count"":11,""a_user_name"":""마몬"",""a_user_stage"":336,""b.diamond"":217998,""b.ruby"":3300,""boxAllCount"":5210,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-17"",""total_payment_amount"":216700,""user_rank"":3777}","돌발_사형수__2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-27 09:46:08"",""UserUUID"":""da946790-0bae-11f1-a76e-b16d35131182"",""a_EventItem"":"""",""a_attendance_count"":11,""a_user_name"":""마몬"",""a_user_stage"":336,""b.diamond"":210698,""b.ruby"":4400,""boxAllCount"":5210,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-17"",""total_payment_amount"":216700,""user_rank"":3777}","Minigame_Product_draw_2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-27 09:39:42"",""UserUUID"":""6b7ab760-0b36-11f1-9511-a56d1b15413f"",""a_EventItem"":"""",""a_attendance_count"":12,""a_user_name"":""카롱카롱"",""a_user_stage"":270,""b.diamond"":111076,""b.ruby"":0,""boxAllCount"":3200,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":31900,""user_rank"":4825}","(기간한정 일간)장비__0__110",110
"ItemPurchased (App)","{""Time"":""2026-02-27 09:39:12"",""UserUUID"":""6b7ab760-0b36-11f1-9511-a56d1b15413f"",""a_EventItem"":"""",""a_attendance_count"":12,""a_user_name"":""카롱카롱"",""a_user_stage"":270,""b.diamond"":106576,""b.ruby"":110,""boxAllCount"":3200,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":31900,""user_rank"":4825}","사냥 패스__0__550",550
"ItemPurchased (App)","{""Time"":""2026-02-27 09:31:32"",""UserUUID"":""19a5cf00-6fa1-11f0-846f-17143172b206"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""무형"",""a_user_stage"":234,""b.diamond"":24668,""b.ruby"":0,""boxAllCount"":1570,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-02"",""total_payment_amount"":24200,""user_rank"":5773}","돌발_고려2__4__1100",1100
"ItemPurchased (App)","{""Time"":""2026-02-27 09:01:33"",""UserUUID"":""dde299c0-c32b-11ef-887b-6330f7661919"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""물구나무서기"",""a_user_stage"":130,""b.diamond"":500265,""b.ruby"":0,""boxAllCount"":960,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-12-26"",""total_payment_amount"":7700,""user_rank"":549}","구독권1__770",770
"ItemPurchased (App)","{""Time"":""2026-02-27 08:46:37"",""UserUUID"":""e2900d70-d7d6-11f0-9e85-dd2973981c4c"",""a_EventItem"":"""",""a_attendance_count"":71,""a_user_name"":""김밥맨"",""a_user_stage"":452,""b.diamond"":2191,""b.ruby"":0,""boxAllCount"":30010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-13"",""total_payment_amount"":305800,""user_rank"":2446}","Minigame_Product_draw_8__3300",3300
"ItemPurchased (App)","{""Time"":""2026-02-27 08:45:42"",""UserUUID"":""89207590-d958-11ef-b87c-952aea98d58b"",""a_EventItem"":"""",""a_attendance_count"":401,""a_user_name"":""예압"",""a_user_stage"":1448,""b.diamond"":307475,""b.ruby"":200,""boxAllCount"":61700,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-01-23"",""total_payment_amount"":849900,""user_rank"":60}","돌발_던전3__15__990",990
"ItemPurchased (App)","{""Time"":""2026-02-27 07:58:05"",""UserUUID"":""1843fa80-03dd-11f1-a7cf-35b64b80da07"",""a_EventItem"":"""",""a_attendance_count"":21,""a_user_name"":""무나모토"",""a_user_stage"":861,""b.diamond"":11487,""b.ruby"":0,""boxAllCount"":7010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-07"",""total_payment_amount"":2457400,""user_rank"":841}","돌발_무기2__14__3300",3300
"ItemPurchased (App)","{""Time"":""2026-02-27 07:56:47"",""UserUUID"":""57eeb8f0-0937-11f1-8218-43a7bad363ff"",""a_EventItem"":"""",""a_attendance_count"":14,""a_user_name"":""keykey"",""a_user_stage"":453,""b.diamond"":5172,""b.ruby"":0,""boxAllCount"":7340,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-13"",""total_payment_amount"":394900,""user_rank"":2554}","(기간한정 일간)어빌석__0__110",110
