"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-02-27 09:51:39"",""UserUUID"":""1e13d640-68f8-11f0-bf27-69600f7373fa"",""a_attendance_count"":221,""a_user_name"":""치우1"",""a_user_stage"":938,""b.diamond"":75840,""b.ruby"":330,""boxAllCount"":38860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-25"",""total_payment_amount"":570900,""user_rank"":621}"
"Order Complete (App)","{""Time"":""2026-02-27 09:42:49"",""UserUUID"":""da946790-0bae-11f1-a76e-b16d35131182"",""a_attendance_count"":11,""a_user_name"":""마몬"",""a_user_stage"":336,""b.diamond"":219998,""b.ruby"":0,""boxAllCount"":4530,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-17"",""total_payment_amount"":161700,""user_rank"":3777}"
"Order Complete (App)","{""Time"":""2026-02-27 09:37:08"",""UserUUID"":""6b7ab760-0b36-11f1-9511-a56d1b15413f"",""a_attendance_count"":12,""a_user_name"":""카롱카롱"",""a_user_stage"":270,""b.diamond"":2826,""b.ruby"":0,""boxAllCount"":3200,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-16"",""total_payment_amount"":25300,""user_rank"":4825}"
"Order Complete (App)","{""Time"":""2026-02-27 09:30:44"",""UserUUID"":""19a5cf00-6fa1-11f0-846f-17143172b206"",""a_attendance_count"":8,""a_user_name"":""무형"",""a_user_stage"":234,""b.diamond"":19668,""b.ruby"":440,""boxAllCount"":1570,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-02"",""total_payment_amount"":17600,""user_rank"":5773}"
"Order Complete (App)","{""Time"":""2026-02-27 08:59:59"",""UserUUID"":""dde299c0-c32b-11ef-887b-6330f7661919"",""a_attendance_count"":4,""a_user_name"":""물구나무서기"",""a_user_stage"":130,""b.diamond"":497265,""b.ruby"":770,""boxAllCount"":960,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-12-26"",""total_payment_amount"":7700,""user_rank"":549}"
"Order Complete (App)","{""Time"":""2026-02-27 08:59:23"",""UserUUID"":""dde299c0-c32b-11ef-887b-6330f7661919"",""a_attendance_count"":4,""a_user_name"":""물구나무서기"",""a_user_stage"":130,""b.diamond"":497265,""b.ruby"":0,""boxAllCount"":960,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2024-12-26"",""total_payment_amount"":0,""user_rank"":549}"
"Order Complete (App)","{""Time"":""2026-02-27 08:45:34"",""UserUUID"":""e2900d70-d7d6-11f0-9e85-dd2973981c4c"",""a_attendance_count"":71,""a_user_name"":""김밥맨"",""a_user_stage"":452,""b.diamond"":2191,""b.ruby"":0,""boxAllCount"":30010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-13"",""total_payment_amount"":272800,""user_rank"":2446}"
"Order Complete (App)","{""Time"":""2026-02-27 08:44:37"",""UserUUID"":""89207590-d958-11ef-b87c-952aea98d58b"",""a_attendance_count"":401,""a_user_name"":""예압"",""a_user_stage"":1448,""b.diamond"":297475,""b.ruby"":90,""boxAllCount"":61700,""curserver"":0,""iap_platform"":""GooglePlay"",""install_day"":""2025-01-23"",""total_payment_amount"":838900,""user_rank"":60}"
"Order Complete (App)","{""Time"":""2026-02-27 08:34:43"",""UserUUID"":""c78a4b20-12f6-11f1-8fbc-dd149782c531"",""a_attendance_count"":2,""a_user_name"":""얼음포"",""a_user_stage"":41,""b.diamond"":297337,""b.ruby"":0,""boxAllCount"":180,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-26"",""total_payment_amount"":0,""user_rank"":14202}"
"Order Complete (App)","{""Time"":""2026-02-27 08:16:10"",""UserUUID"":""227907a0-e698-11f0-9de3-638b3305542b"",""a_attendance_count"":58,""a_user_name"":""나카시마미카"",""a_user_stage"":617,""b.diamond"":131522,""b.ruby"":220,""boxAllCount"":15350,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-12-31"",""total_payment_amount"":203500,""user_rank"":1449}"
"Order Complete (App)","{""Time"":""2026-02-27 07:57:27"",""UserUUID"":""1843fa80-03dd-11f1-a7cf-35b64b80da07"",""a_attendance_count"":21,""a_user_name"":""무나모토"",""a_user_stage"":861,""b.diamond"":1487,""b.ruby"":0,""boxAllCount"":7010,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-07"",""total_payment_amount"":2424400,""user_rank"":841}"
"Order Complete (App)","{""Time"":""2026-02-27 07:53:55"",""UserUUID"":""57eeb8f0-0937-11f1-8218-43a7bad363ff"",""a_attendance_count"":14,""a_user_name"":""keykey"",""a_user_stage"":453,""b.diamond"":172,""b.ruby"":0,""boxAllCount"":7340,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-13"",""total_payment_amount"":388300,""user_rank"":2554}"
"Order Complete (App)","{""Time"":""2026-02-27 07:52:26"",""UserUUID"":""57eeb8f0-0937-11f1-8218-43a7bad363ff"",""a_attendance_count"":14,""a_user_name"":""keykey"",""a_user_stage"":453,""b.diamond"":172,""b.ruby"":0,""boxAllCount"":7340,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-13"",""total_payment_amount"":387200,""user_rank"":2554}"
"Order Complete (App)","{""Time"":""2026-02-27 07:43:36"",""UserUUID"":""a5884510-1362-11f1-ae22-f1888e286d20"",""a_attendance_count"":1,""a_user_name"":""툭캉"",""a_user_stage"":25,""b.diamond"":55575,""b.ruby"":110,""boxAllCount"":0,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2026-02-26"",""total_payment_amount"":8800,""user_rank"":15927}"
"Order Complete (App)","{""Time"":""2026-02-27 07:42:29"",""UserUUID"":""75bffcb0-827b-11f0-80c1-3159ec3884c6"",""a_attendance_count"":186,""a_user_name"":""문학이"",""a_user_stage"":1448,""b.diamond"":224734,""b.ruby"":330,""boxAllCount"":40000,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-26"",""total_payment_amount"":2524500,""user_rank"":36}"
"Order Complete (App)","{""Time"":""2026-02-27 07:28:43"",""UserUUID"":""36883860-8545-11f0-ae3c-29a303a1e907"",""a_attendance_count"":165,""a_user_name"":""알푸스날두"",""a_user_stage"":427,""b.diamond"":374452,""b.ruby"":0,""boxAllCount"":19260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-08-30"",""total_payment_amount"":0,""user_rank"":2970}"
