"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-03-15 22:03:37"",""UserUUID"":""e7520e70-17b5-11f1-92a2-8d14f4b943e2"",""a_EventItem"":"""",""a_attendance_count"":12,""a_user_name"":""딴지요"",""a_user_stage"":326,""b.diamond"":31618,""b.ruby"":5500,""boxAllCount"":9080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-04"",""total_payment_amount"":447700,""user_rank"":4123}","돌발_사형수__1__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 22:03:28"",""UserUUID"":""e7520e70-17b5-11f1-92a2-8d14f4b943e2"",""a_EventItem"":"""",""a_attendance_count"":12,""a_user_name"":""딴지요"",""a_user_stage"":326,""b.diamond"":26618,""b.ruby"":6600,""boxAllCount"":9080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-04"",""total_payment_amount"":447700,""user_rank"":4123}","돌발_사형수__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 22:03:26"",""UserUUID"":""1788f0a0-1c83-11f1-b4f7-d18464c964ba"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""햄메"",""a_user_stage"":177,""b.diamond"":23582,""b.ruby"":660,""boxAllCount"":2410,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-10"",""total_payment_amount"":33000,""user_rank"":7487}","돌발_던전3__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 22:03:19"",""UserUUID"":""e7520e70-17b5-11f1-92a2-8d14f4b943e2"",""a_EventItem"":"""",""a_attendance_count"":12,""a_user_name"":""딴지요"",""a_user_stage"":326,""b.diamond"":21618,""b.ruby"":7700,""boxAllCount"":9080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-04"",""total_payment_amount"":447700,""user_rank"":4123}","돌발_승급__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 21:51:10"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":326,""b.diamond"":15438,""b.ruby"":4070,""boxAllCount"":5260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":359700,""user_rank"":4123}","돌발_조선2__5__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 21:30:24"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":326,""b.diamond"":225238,""b.ruby"":1870,""boxAllCount"":5260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":304700,""user_rank"":4123}","돌발_동료__5__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 21:30:21"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":326,""b.diamond"":225238,""b.ruby"":5170,""boxAllCount"":5260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":304700,""user_rank"":4123}","돌발_사형수__1__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 21:30:06"",""UserUUID"":""1788f0a0-1c83-11f1-b4f7-d18464c964ba"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""햄메"",""a_user_stage"":134,""b.diamond"":35182,""b.ruby"":110,""boxAllCount"":1870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-10"",""total_payment_amount"":22000,""user_rank"":7828}","돌발_던전1__1__990",990
"ItemPurchased (App)","{""Time"":""2026-03-15 21:06:01"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":306,""b.diamond"":49323,""b.ruby"":770,""boxAllCount"":5050,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":249700,""user_rank"":4345}","돌발_사형수__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-03-15 20:50:25"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":16873,""b.ruby"":1870,""boxAllCount"":5050,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":249700,""user_rank"":4925}","돌발_조선2__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:48:40"",""UserUUID"":""4b71d490-6522-11f0-a092-cfb4e8946e57"",""a_EventItem"":"""",""a_attendance_count"":239,""a_user_name"":""랑방"",""a_user_stage"":1410,""b.diamond"":49628,""b.ruby"":9680,""boxAllCount"":17870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-20"",""total_payment_amount"":661100,""user_rank"":67}","돌발_무기2__11__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:48:34"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":328,""b.diamond"":6738082,""b.ruby"":440,""boxAllCount"":9300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":655600,""user_rank"":4310}","돌발_동료__5__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:45:22"",""UserUUID"":""4df86fe0-1ee4-11f1-8f9f-7f7b373d0b94"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""2명"",""a_user_stage"":62,""b.diamond"":503766,""b.ruby"":0,""boxAllCount"":1860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":29700,""user_rank"":12179}","돌발_동료__0__330",330
"ItemPurchased (App)","{""Time"":""2026-03-15 20:44:07"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":562223,""b.ruby"":1870,""boxAllCount"":4080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":216700,""user_rank"":4925}","돌발_갑옷2__0__550",550
"ItemPurchased (App)","{""Time"":""2026-03-15 20:43:13"",""UserUUID"":""4df86fe0-1ee4-11f1-8f9f-7f7b373d0b94"",""a_EventItem"":"""",""a_attendance_count"":3,""a_user_name"":""2명"",""a_user_stage"":62,""b.diamond"":492766,""b.ruby"":330,""boxAllCount"":1860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":29700,""user_rank"":12179}","돌발_육성2__0__990",990
"ItemPurchased (App)","{""Time"":""2026-03-15 20:41:34"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_EventItem"":"""",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":24723,""b.ruby"":2420,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":216700,""user_rank"":4925}","돌발_고려2__6__3300",3300
"ItemPurchased (App)","{""Time"":""2026-03-15 20:41:32"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_EventItem"":"""",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":309,""b.diamond"":6669232,""b.ruby"":440,""boxAllCount"":9290,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":622600,""user_rank"":4310}","돌발_사형수__1__1100",1100
