"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-03-15 22:02:41"",""UserUUID"":""1788f0a0-1c83-11f1-b4f7-d18464c964ba"",""a_attendance_count"":6,""a_user_name"":""햄메"",""a_user_stage"":177,""b.diamond"":18582,""b.ruby"":110,""boxAllCount"":2410,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-10"",""total_payment_amount"":22000,""user_rank"":7487}"
"Order Complete (App)","{""Time"":""2026-03-15 22:02:34"",""UserUUID"":""e7520e70-17b5-11f1-92a2-8d14f4b943e2"",""a_attendance_count"":12,""a_user_name"":""딴지요"",""a_user_stage"":326,""b.diamond"":11618,""b.ruby"":0,""boxAllCount"":9080,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-04"",""total_payment_amount"":337700,""user_rank"":4123}"
"Order Complete (App)","{""Time"":""2026-03-15 21:51:50"",""UserUUID"":""fb7b67f0-204f-11f1-8edd-8bd60c1f7460"",""a_attendance_count"":1,""a_user_name"":""박덕구"",""a_user_stage"":52,""b.diamond"":309055,""b.ruby"":0,""boxAllCount"":30,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-15"",""total_payment_amount"":0,""user_rank"":13505}"
"Order Complete (App)","{""Time"":""2026-03-15 21:50:12"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":326,""b.diamond"":4438,""b.ruby"":1870,""boxAllCount"":5260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":304700,""user_rank"":4123}"
"Order Complete (App)","{""Time"":""2026-03-15 21:27:45"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":326,""b.diamond"":184238,""b.ruby"":770,""boxAllCount"":5060,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":249700,""user_rank"":4123}"
"Order Complete (App)","{""Time"":""2026-03-15 21:28:29"",""UserUUID"":""1788f0a0-1c83-11f1-b4f7-d18464c964ba"",""a_attendance_count"":6,""a_user_name"":""햄메"",""a_user_stage"":134,""b.diamond"":5182,""b.ruby"":0,""boxAllCount"":1870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-10"",""total_payment_amount"":11000,""user_rank"":7828}"
"Order Complete (App)","{""Time"":""2026-03-15 21:11:40"",""UserUUID"":""4b71d490-6522-11f0-a092-cfb4e8946e57"",""a_attendance_count"":239,""a_user_name"":""랑방"",""a_user_stage"":1410,""b.diamond"":52886,""b.ruby"":9680,""boxAllCount"":17870,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-20"",""total_payment_amount"":661100,""user_rank"":68}"
"Order Complete (App)","{""Time"":""2026-03-15 20:49:55"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":6873,""b.ruby"":1870,""boxAllCount"":5050,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":216700,""user_rank"":4925}"
"Order Complete (App)","{""Time"":""2026-03-15 20:48:11"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":328,""b.diamond"":6738082,""b.ruby"":440,""boxAllCount"":9300,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":622600,""user_rank"":4310}"
"Order Complete (App)","{""Time"":""2026-03-15 20:46:12"",""UserUUID"":""4b71d490-6522-11f0-a092-cfb4e8946e57"",""a_attendance_count"":239,""a_user_name"":""랑방"",""a_user_stage"":1410,""b.diamond"":60578,""b.ruby"":1980,""boxAllCount"":17850,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2025-07-20"",""total_payment_amount"":551100,""user_rank"":67}"
"Order Complete (App)","{""Time"":""2026-03-15 20:42:06"",""UserUUID"":""4df86fe0-1ee4-11f1-8f9f-7f7b373d0b94"",""a_attendance_count"":3,""a_user_name"":""2명"",""a_user_stage"":62,""b.diamond"":472766,""b.ruby"":220,""boxAllCount"":1860,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-13"",""total_payment_amount"":18700,""user_rank"":12179}"
"Order Complete (App)","{""Time"":""2026-03-15 20:41:15"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":309,""b.diamond"":6664232,""b.ruby"":440,""boxAllCount"":9290,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":611600,""user_rank"":4310}"
"Order Complete (App)","{""Time"":""2026-03-15 20:41:06"",""UserUUID"":""283d9010-1a38-11f1-a53d-39bfeeb409e5"",""a_attendance_count"":8,""a_user_name"":""taxi"",""a_user_stage"":286,""b.diamond"":14723,""b.ruby"":220,""boxAllCount"":3880,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-03-07"",""total_payment_amount"":161700,""user_rank"":4925}"
"Order Complete (App)","{""Time"":""2026-03-15 20:37:35"",""UserUUID"":""2a1107e0-011b-11f1-87a4-d7dac52d67ee"",""a_attendance_count"":17,""a_user_name"":""은사"",""a_user_stage"":309,""b.diamond"":6646957,""b.ruby"":440,""boxAllCount"":9260,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-03"",""total_payment_amount"":600600,""user_rank"":4394}"
