"Event Category","Custom Event Properties","Product ID","Product Price"
"ItemPurchased (App)","{""Time"":""2026-04-15 23:40:38"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":1109611,""b.ruby"":6820,""boxAllCount"":20470,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":755700,""user_rank"":109}","돌발_던전1__1__990",990
"ItemPurchased (App)","{""Time"":""2026-04-15 23:38:26"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":1089686,""b.ruby"":7810,""boxAllCount"":20460,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":755700,""user_rank"":109}","돌발_사형수__1__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:36:08"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":1084186,""b.ruby"":8910,""boxAllCount"":20460,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":755700,""user_rank"":109}","돌발_사형수__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:34:59"",""UserUUID"":""c4512620-03c1-11f1-9605-4f363341f863"",""a_EventItem"":"""",""a_attendance_count"":68,""a_user_name"":""오늘하루"",""a_user_stage"":10676,""b.diamond"":207478,""b.ruby"":1210,""boxAllCount"":20470,""curserver"":1,""iap_platform"":""GooglePlay"",""install_day"":""2026-02-07"",""total_payment_amount"":3022800,""user_rank"":324}","(기간한정 일간)입장권1__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:33:44"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":972636,""b.ruby"":10010,""boxAllCount"":20460,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":755700,""user_rank"":109}","돌발_승급__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-04-15 23:29:24"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":1333568,""b.ruby"":22990,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1459700,""user_rank"":19}","돌발_육성2__5__990",990
"ItemPurchased (App)","{""Time"":""2026-04-15 23:29:08"",""UserUUID"":""0329ae70-3474-11f1-baf0-bfc4eac555b7"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""광놈"",""a_user_stage"":147,""b.diamond"":31184,""b.ruby"":110,""boxAllCount"":2490,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":40700,""user_rank"":2797}","돌발_동료__2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:29:02"",""UserUUID"":""0329ae70-3474-11f1-baf0-bfc4eac555b7"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""광놈"",""a_user_stage"":147,""b.diamond"":31184,""b.ruby"":1210,""boxAllCount"":2490,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":40700,""user_rank"":2797}","돌발_던전1__1__990",990
"ItemPurchased (App)","{""Time"":""2026-04-15 23:28:56"",""UserUUID"":""0329ae70-3474-11f1-baf0-bfc4eac555b7"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""광놈"",""a_user_stage"":147,""b.diamond"":11184,""b.ruby"":2200,""boxAllCount"":2490,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":40700,""user_rank"":2797}","돌발_무기2__4__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:28:10"",""UserUUID"":""c99567a0-3417-11f1-a793-c782112182ad"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""땨니"",""a_user_stage"":91,""b.diamond"":1701039,""b.ruby"":5060,""boxAllCount"":600,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-09"",""total_payment_amount"":95700,""user_rank"":4809}","돌발_동료__1__550",550
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:36"",""UserUUID"":""e4469d20-3607-11f1-9598-07c759cdacdd"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""키야야야"",""a_user_stage"":292,""b.diamond"":85652,""b.ruby"":220,""boxAllCount"":6980,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-12"",""total_payment_amount"":161700,""user_rank"":121}","(기간한정 일간)입장권2__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:20"",""UserUUID"":""9fee29c0-30dc-11f1-8c19-3199f24368cf"",""a_EventItem"":"""",""a_attendance_count"":11,""a_user_name"":""Kumak"",""a_user_stage"":10110,""b.diamond"":13618,""b.ruby"":0,""boxAllCount"":25150,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-05"",""total_payment_amount"":1481700,""user_rank"":11}","돌발_조선2__6__3300",3300
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:27"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":788668,""b.ruby"":23980,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1459700,""user_rank"":19}","돌발_다이아__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:24"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":588668,""b.ruby"":25080,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1459700,""user_rank"":19}","돌발_육성2__4__990",990
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:13"",""UserUUID"":""91bed1c0-31cb-11f1-8dd1-0b3e03cc4705"",""a_EventItem"":"""",""a_attendance_count"":9,""a_user_name"":""멜란지"",""a_user_stage"":243,""b.diamond"":25717,""b.ruby"":0,""boxAllCount"":7080,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-06"",""total_payment_amount"":128700,""user_rank"":847}","(기간한정 주간)장비__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:18"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":568668,""b.ruby"":26070,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1459700,""user_rank"":19}","돌발_스테이지__7__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:25:10"",""UserUUID"":""91bed1c0-31cb-11f1-8dd1-0b3e03cc4705"",""a_EventItem"":"""",""a_attendance_count"":9,""a_user_name"":""멜란지"",""a_user_stage"":243,""b.diamond"":15717,""b.ruby"":1100,""boxAllCount"":7080,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-06"",""total_payment_amount"":128700,""user_rank"":847}","(기간한정 주간)다이아__0__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:24:52"",""UserUUID"":""91bed1c0-31cb-11f1-8dd1-0b3e03cc4705"",""a_EventItem"":"""",""a_attendance_count"":9,""a_user_name"":""멜란지"",""a_user_stage"":243,""b.diamond"":5717,""b.ruby"":2200,""boxAllCount"":7080,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-06"",""total_payment_amount"":128700,""user_rank"":847}","계정한정__가속소환__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:24:20"",""UserUUID"":""9fee29c0-30dc-11f1-8c19-3199f24368cf"",""a_EventItem"":"""",""a_attendance_count"":11,""a_user_name"":""Kumak"",""a_user_stage"":10110,""b.diamond"":30118,""b.ruby"":3300,""boxAllCount"":25150,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-05"",""total_payment_amount"":1481700,""user_rank"":11}","계정한정__조선소환__3__3300",3300
"ItemPurchased (App)","{""Time"":""2026-04-15 23:23:18"",""UserUUID"":""3730edb0-35cc-11f1-9cf9-bb682b664da8"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""김대현"",""a_user_stage"":120,""b.diamond"":3374,""b.ruby"":0,""boxAllCount"":310,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-11"",""total_payment_amount"":18700,""user_rank"":3301}","돌발_동료__2__1100",1100
"ItemPurchased (App)","{""Time"":""2026-04-15 23:22:23"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":198668,""b.ruby"":16170,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1349700,""user_rank"":19}","돌발_사형수__4__3300",3300
"ItemPurchased (App)","{""Time"":""2026-04-15 23:22:20"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_EventItem"":"""",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":183668,""b.ruby"":19470,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1349700,""user_rank"":19}","돌발_고려2__6__3300",3300
"ItemPurchased (App)","{""Time"":""2026-04-15 23:20:09"",""UserUUID"":""e4469d20-3607-11f1-9598-07c759cdacdd"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""키야야야"",""a_user_stage"":292,""b.diamond"":68177,""b.ruby"":330,""boxAllCount"":6980,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-12"",""total_payment_amount"":161700,""user_rank"":123}","(기간한정 일간)장비__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:20:06"",""UserUUID"":""e4469d20-3607-11f1-9598-07c759cdacdd"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""키야야야"",""a_user_stage"":292,""b.diamond"":63677,""b.ruby"":440,""boxAllCount"":6980,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-12"",""total_payment_amount"":161700,""user_rank"":123}","(기간한정 일간)가속__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:20:03"",""UserUUID"":""e4469d20-3607-11f1-9598-07c759cdacdd"",""a_EventItem"":"""",""a_attendance_count"":4,""a_user_name"":""키야야야"",""a_user_stage"":292,""b.diamond"":58677,""b.ruby"":550,""boxAllCount"":6980,""curserver"":2,""iap_platform"":""GooglePlay"",""install_day"":""2026-04-12"",""total_payment_amount"":161700,""user_rank"":123}","(기간한정 일간)영웅__0__110",110
"ItemPurchased (App)","{""Time"":""2026-04-15 23:19:40"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_EventItem"":"""",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":939911,""b.ruby"":10010,""boxAllCount"":20460,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":722700,""user_rank"":109}","(기간한정 일간)입장권2__2__1100",1100
