"Event Category","Custom Event Properties"
"Order Complete (App)","{""Time"":""2026-04-15 23:42:45"",""UserUUID"":""9ce2fdb0-359f-11f1-9bde-2793c43a7856"",""a_attendance_count"":3,""a_user_name"":""나블리"",""a_user_stage"":67,""b.diamond"":169301,""b.ruby"":0,""boxAllCount"":2650,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-11"",""total_payment_amount"":11000,""user_rank"":6264}"
"Order Complete (App)","{""Time"":""2026-04-15 23:39:27"",""UserUUID"":""ecf7e870-38d7-11f1-855a-e92321d48e93"",""a_attendance_count"":1,""a_user_name"":""소양"",""a_user_stage"":4,""b.diamond"":8000,""b.ruby"":0,""boxAllCount"":0,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-15"",""total_payment_amount"":0,""user_rank"":99999999}"
"Order Complete (App)","{""Time"":""2026-04-15 23:39:01"",""UserUUID"":""5e156310-6224-11f0-bbfd-8564365ef7ff"",""a_attendance_count"":120,""a_user_name"":""아둔"",""a_user_stage"":21023,""b.diamond"":1587039,""b.ruby"":342030,""boxAllCount"":299380,""curserver"":1,""iap_platform"":""OneStore"",""install_day"":""2025-07-16"",""total_payment_amount"":15616000,""user_rank"":5}"
"Order Complete (App)","{""Time"":""2026-04-15 23:31:52"",""UserUUID"":""0329ae70-3474-11f1-baf0-bfc4eac555b7"",""a_attendance_count"":6,""a_user_name"":""광놈"",""a_user_stage"":147,""b.diamond"":384,""b.ruby"":110,""boxAllCount"":2610,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":40700,""user_rank"":2797}"
"Order Complete (App)","{""Time"":""2026-04-15 23:28:43"",""UserUUID"":""0329ae70-3474-11f1-baf0-bfc4eac555b7"",""a_attendance_count"":6,""a_user_name"":""광놈"",""a_user_stage"":147,""b.diamond"":6184,""b.ruby"":0,""boxAllCount"":2490,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":7700,""user_rank"":2797}"
"Order Complete (App)","{""Time"":""2026-04-15 23:28:01"",""UserUUID"":""c99567a0-3417-11f1-a793-c782112182ad"",""a_attendance_count"":6,""a_user_name"":""땨니"",""a_user_stage"":91,""b.diamond"":1701039,""b.ruby"":110,""boxAllCount"":600,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-09"",""total_payment_amount"":40700,""user_rank"":4809}"
"Order Complete (App)","{""Time"":""2026-04-15 23:26:18"",""UserUUID"":""b36e3360-3793-11f1-b531-c3951b9abcf2"",""a_attendance_count"":2,""a_user_name"":""SSC짱구"",""a_user_stage"":305,""b.diamond"":939911,""b.ruby"":10010,""boxAllCount"":20460,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-13"",""total_payment_amount"":722700,""user_rank"":109}"
"Order Complete (App)","{""Time"":""2026-04-15 23:25:28"",""UserUUID"":""a2f43640-380d-11f1-b884-2587227c1935"",""a_attendance_count"":2,""a_user_name"":""이태신"",""a_user_stage"":72,""b.diamond"":81050,""b.ruby"":0,""boxAllCount"":750,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-14"",""total_payment_amount"":0,""user_rank"":5784}"
"Order Complete (App)","{""Time"":""2026-04-15 23:22:56"",""UserUUID"":""3d4c7aa0-34c5-11f1-88c8-672cb8d5cb4c"",""a_attendance_count"":6,""a_user_name"":""흑일"",""a_user_stage"":10052,""b.diamond"":278668,""b.ruby"":16170,""boxAllCount"":28680,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-10"",""total_payment_amount"":1349700,""user_rank"":19}"
"Order Complete (App)","{""Time"":""2026-04-15 23:22:46"",""UserUUID"":""3730edb0-35cc-11f1-9cf9-bb682b664da8"",""a_attendance_count"":4,""a_user_name"":""김대현"",""a_user_stage"":120,""b.diamond"":3274,""b.ruby"":0,""boxAllCount"":310,""curserver"":2,""iap_platform"":""AppleStore"",""install_day"":""2026-04-11"",""total_payment_amount"":7700,""user_rank"":3301}"
