"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_300 (App)","W:21_0A:19_0","6","{""Time"":""2025-12-31 18:38:58"",""UserUUID"":""b61f44a0-e257-11f0-9150-f1fb802a5e79"",""attendance_count"":6,""b.diamond"":31756,""b.ruby"":220,""boxAllCount"":4180,""curserver"":1,""install_day"":""2025-12-26"",""total_payment_amount"":223300,""user_name"":""뾰뀨"",""user_rank"":3538,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:19_0","26","{""Time"":""2025-12-31 16:06:23"",""UserUUID"":""5a362180-d27c-11f0-b87e-79f2722a3d56"",""attendance_count"":26,""b.diamond"":69734,""b.ruby"":0,""boxAllCount"":1410,""curserver"":1,""install_day"":""2025-12-06"",""total_payment_amount"":7700,""user_name"":""아산두루치기"",""user_rank"":3572,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:20_0","35","{""Time"":""2025-12-31 15:52:54"",""UserUUID"":""d870baa0-ca7b-11f0-b744-19d6a81d7634"",""attendance_count"":35,""b.diamond"":121315,""b.ruby"":0,""boxAllCount"":6580,""curserver"":1,""install_day"":""2025-11-26"",""total_payment_amount"":7700,""user_name"":""송원"",""user_rank"":3572,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:20_0","22","{""Time"":""2025-12-31 11:18:13"",""UserUUID"":""0bf6ea30-d570-11f0-a76e-5566c4c2cec9"",""attendance_count"":22,""b.diamond"":68899,""b.ruby"":0,""boxAllCount"":6220,""curserver"":1,""install_day"":""2025-12-10"",""total_payment_amount"":7700,""user_name"":""몽몽실"",""user_rank"":3541,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:19_0","25","{""Time"":""2025-12-31 07:35:59"",""UserUUID"":""b8c1f180-d339-11f0-9254-3ddc439ea1e6"",""attendance_count"":25,""b.diamond"":1025595,""b.ruby"":0,""boxAllCount"":2670,""curserver"":1,""install_day"":""2025-12-07"",""total_payment_amount"":7700,""user_name"":""차박"",""user_rank"":3568,""user_stage"":300}"
"stage_reached_300 (App)","W:22_0A:20_0","32","{""Time"":""2025-12-31 06:21:28"",""UserUUID"":""e434af40-cd6e-11f0-9353-b1ff925e388b"",""attendance_count"":32,""b.diamond"":229932,""b.ruby"":0,""boxAllCount"":7450,""curserver"":1,""install_day"":""2025-11-29"",""total_payment_amount"":0,""user_name"":""바람같이"",""user_rank"":3534,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:21_0","34","{""Time"":""2025-12-31 05:38:24"",""UserUUID"":""739cafa0-cc4a-11f0-be7f-ff1e0fc5e46a"",""attendance_count"":34,""b.diamond"":179984,""b.ruby"":0,""boxAllCount"":12170,""curserver"":1,""install_day"":""2025-11-28"",""total_payment_amount"":7700,""user_name"":""꽁그이"",""user_rank"":3540,""user_stage"":300}"
"stage_reached_300 (App)","W:20_0A:19_0","21","{""Time"":""2025-12-31 00:58:14"",""UserUUID"":""a0c4ca90-d64e-11f0-855f-bf4f45d4d726"",""attendance_count"":21,""b.diamond"":67948,""b.ruby"":110,""boxAllCount"":2790,""curserver"":1,""install_day"":""2025-12-11"",""total_payment_amount"":18700,""user_name"":""흐림이"",""user_rank"":3534,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:19_0","14","{""Time"":""2025-12-31 00:22:50"",""UserUUID"":""2fdb5f00-db5e-11f0-980e-773443872bc3"",""attendance_count"":14,""b.diamond"":1206,""b.ruby"":0,""boxAllCount"":2040,""curserver"":1,""install_day"":""2025-12-17"",""total_payment_amount"":40700,""user_name"":""문왕"",""user_rank"":3566,""user_stage"":300}"
"stage_reached_300 (App)","W:21_0A:21_0","36","{""Time"":""2025-12-30 20:58:01"",""UserUUID"":""017d53b0-c868-11f0-b319-dd59dbde236a"",""attendance_count"":36,""b.diamond"":254782,""b.ruby"":0,""boxAllCount"":10760,""curserver"":1,""install_day"":""2025-11-23"",""total_payment_amount"":7700,""user_name"":""무한상사"",""user_rank"":3675,""user_stage"":300}"
