"Event Category","Event Action","Event Label","Custom Event Properties"
"stage_reached_400 (App)","W:23_0A:19_0","31","{""Time"":""2026-03-15 20:33:40"",""UserUUID"":""73976f30-0684-11f1-af16-37625a9c1cbd"",""attendance_count"":31,""b.diamond"":4678,""b.ruby"":0,""boxAllCount"":1110,""curserver"":1,""install_day"":""2026-02-10"",""total_payment_amount"":18700,""user_name"":""바그스르기"",""user_rank"":3273,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:22_0","35","{""Time"":""2026-03-15 18:05:31"",""UserUUID"":""b6517980-0588-11f1-a99e-05458a832379"",""attendance_count"":35,""b.diamond"":5256,""b.ruby"":0,""boxAllCount"":21470,""curserver"":1,""install_day"":""2026-02-09"",""total_payment_amount"":42900,""user_name"":""힘이여솟아라"",""user_rank"":3448,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:19_0","18","{""Time"":""2026-03-15 17:31:20"",""UserUUID"":""4beedc80-1268-11f1-a49f-a3e0728fa84d"",""attendance_count"":18,""b.diamond"":130405,""b.ruby"":0,""boxAllCount"":2310,""curserver"":1,""install_day"":""2026-02-25"",""total_payment_amount"":62700,""user_name"":""겐진"",""user_rank"":3485,""user_stage"":400}"
"stage_reached_400 (App)","W:22_0A:21_0","46","{""Time"":""2026-03-15 17:21:17"",""UserUUID"":""1c3ddf70-fcc1-11f0-86fe-b708c7f70754"",""attendance_count"":46,""b.diamond"":258538,""b.ruby"":0,""boxAllCount"":10210,""curserver"":1,""install_day"":""2026-01-29"",""total_payment_amount"":33000,""user_name"":""신이내려준상근병"",""user_rank"":3276,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:22_0","31","{""Time"":""2026-03-15 14:02:34"",""UserUUID"":""f209c7a0-08eb-11f1-a6fb-d5577b388d08"",""attendance_count"":31,""b.diamond"":3881,""b.ruby"":0,""boxAllCount"":3000,""curserver"":1,""install_day"":""2026-02-13"",""total_payment_amount"":18700,""user_name"":""개진상"",""user_rank"":3268,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:21_0","19","{""Time"":""2026-03-15 12:18:14"",""UserUUID"":""613e2610-7356-11f0-bc5c-ad10104b5495"",""attendance_count"":19,""b.diamond"":70459,""b.ruby"":2090,""boxAllCount"":16860,""curserver"":1,""install_day"":""2025-08-07"",""total_payment_amount"":616000,""user_name"":""영신이"",""user_rank"":3312,""user_stage"":400}"
"stage_reached_400 (App)","W:21_0A:19_0","63","{""Time"":""2026-03-15 11:26:18"",""UserUUID"":""746b0440-ef09-11f0-a8cd-815069b71426"",""attendance_count"":63,""b.diamond"":175071,""b.ruby"":0,""boxAllCount"":3150,""curserver"":1,""install_day"":""2026-01-11"",""total_payment_amount"":7700,""user_name"":""여포s"",""user_rank"":3266,""user_stage"":400}"
"stage_reached_400 (App)","W:21_0A:22_0","46","{""Time"":""2026-03-15 01:23:22"",""UserUUID"":""7951d060-fd19-11f0-930a-e18aee8e74cd"",""attendance_count"":46,""b.diamond"":1793,""b.ruby"":0,""boxAllCount"":10600,""curserver"":1,""install_day"":""2026-01-29"",""total_payment_amount"":7700,""user_name"":""허봄"",""user_rank"":3283,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:23_0","181","{""Time"":""2026-03-14 22:50:50"",""UserUUID"":""cedcbbc0-6b7a-11f0-91ca-cf5b24805095"",""attendance_count"":181,""b.diamond"":299388,""b.ruby"":0,""boxAllCount"":41290,""curserver"":1,""install_day"":""2025-07-28"",""total_payment_amount"":0,""user_name"":""뿌시래기"",""user_rank"":3431,""user_stage"":400}"
"stage_reached_400 (App)","W:23_0A:21_0","69","{""Time"":""2026-03-14 19:40:51"",""UserUUID"":""5b7dee90-9bcf-11ef-a3af-1978de98e500"",""attendance_count"":69,""b.diamond"":308539,""b.ruby"":0,""boxAllCount"":16860,""curserver"":0,""install_day"":""2024-11-05"",""total_payment_amount"":7700,""user_name"":""러닝머신"",""user_rank"":350,""user_stage"":400}"
