순위,UUID,닉네임,점수,
1,dcfafa40-621b-11f0-9ed2-2327c5a1ff14,상처,564,263
2,15c840e0-63d3-11f0-9a87-810a40a679fa,KIRA,557,374
3,d88da590-618d-11f0-be18-d54b23f40b25,악마,480,
4,0c9e5850-62b2-11f0-b038-1df969c0d9a5,엉망,476,1593900
5,4aed3840-6543-11f0-b2e4-155beee88baa,부릉부릉,474,2647700
6,2f9233f0-63b0-11f0-bbdf-4720f039de06,쭌이파파,457,1320000
7,4e144c50-6397-11f0-a4da-3d0ef443f21c,JJJ0738,454,1490500
8,747c1680-6378-11f0-a136-2da89d763260,살성,448,996600
9,c14cecd0-64ce-11f0-89c4-91955faa19a3,내일요,426,913000
10,af774250-63be-11f0-a7e3-7b406ef3e8c7,피코리나,422,1015300
11,7efe8820-6302-11f0-a53e-f720860fcc8a,토실토실,419,1107700
12,0f01b170-626a-11f0-b63f-7755b72aa50f,은비,416,1470700
13,3f76e8d0-62dc-11f0-a53e-f720860fcc8a,천휼,413,964700
14,32af3fb0-6653-11f0-96fa-990fd0c2f326,Jemin,410,1195700
15,dcb7d770-6373-11f0-ba6d-31d76c70e10b,꽃해골,393,887700
16,37c4d360-6451-11f0-8944-5327091948db,leonso,390,2273700
16,06293170-623f-11f0-8e4e-3fc4beb87eac,동상,390,431200
18,9c135f80-6226-11f0-82ed-f76fbd04887c,넌누구니,389,658900
19,d4bafc10-63e5-11f0-89c3-81bc4ed5aa4e,키드,386,623700
19,9d22eab0-639a-11f0-9b51-d36a85c863a7,한석봉,386,685300
21,ef36b910-61f8-11f0-8f57-d38927707cf0,김승원,385,649000
21,c3c47f20-61f2-11f0-9e54-f5b20913bba4,대머리강서구,385,612700
21,40c562e0-647e-11f0-bd3a-59ec6d6002f0,드레옹,385,698500
24,ec218bf0-62cb-11f0-b968-b15002a4efc3,한국완주,378,865700
25,22302cb0-629f-11f0-9c35-45ef6a487d5b,천하난세,374,591800
26,7820d440-62b7-11f0-a89f-3182c3b8adb5,디우,371,496100
27,c4465a70-62d0-11f0-a53e-f720860fcc8a,황장우,369,403700
27,76080ea0-6431-11f0-b895-d750b0653929,개근남,369,465300
29,1f6e91b0-630d-11f0-a7db-25ea31d3298c,아나고,368,425700
30,2dc21e70-6269-11f0-97b4-198e3a6088ef,차희,365,392700
31,8658ee50-6256-11f0-98d2-c5ba3f452be0,별빛속삭임,363,561000
32,11660050-6464-11f0-b9a2-71a70b35ee88,쉬밤꺼,360,792000
33,06b9f870-63ef-11f0-a934-37f97c3285aa,절대무적,356,476300
34,b407bb20-6467-11f0-a19b-cd9bee505425,태풍표류기,351,501600
35,f63c3280-6720-11f0-b696-57f6be140e14,Raid,348,551100
35,2c5cb5b0-6514-11f0-8799-a56030339d38,GC,348,559900
37,4ebc6910-658d-11f0-8de7-713c959a95d8,대제,347,1042800
38,b90ebd70-63a5-11f0-9e98-299d606b6be2,천사오빵,346,449900
39,eeda0500-6467-11f0-82c1-d1354574f8a3,사랑잉,345,381700
39,ec86c130-649e-11f0-ac20-8734dac19833,대명,345,260700
41,ddd58a70-654a-11f0-8eaa-bf6dbefdd461,맹덕,343,767800
42,754623b0-62bc-11f0-a89f-3182c3b8adb5,틸라스,341,377300
43,3f7a7390-6603-11f0-9582-8f4f9f5b46ce,럭키스트라이크,340,575300
44,563467b0-6394-11f0-929e-756b01201a20,겨울사과,338,200200
45,abd22e10-621c-11f0-bbfd-8564365ef7ff,만마앙복,335,261800
45,53e9fa00-652a-11f0-a768-59219107ad21,케케케,335,650100
45,4eebfbe0-648d-11f0-9e55-714c36f08739,아이누이,335,535700
48,ef56db60-6391-11f0-8ad1-495afdf38cf0,딱쎄,332,264000
49,58135740-644c-11f0-8944-5327091948db,dogjwjtj,331,265100
50,a3d545a0-63e1-11f0-9b30-bfc50fd617fd,거지왕최춘삼,330,469700
50,13a9bd10-64d8-11f0-ad80-bf5616b7c1de,오브,330,
52,32bc75c0-61d7-11f0-94d1-0d70694c9e17,호펜,329,
53,987da7e0-6492-11f0-bbfe-0d14bcd852b5,쟁요,328,
54,4ec6acf0-6406-11f0-877d-c952436514c7,빠따,327,
54,3d2884a0-62df-11f0-8f11-77dd1d282e8c,난중일기,327,
56,be3f3300-62de-11f0-a9e2-bd6cd50a5a78,디올대디,326,
56,79934b50-63fc-11f0-83ae-cb0d7c1d5c99,uj,326,
56,636fa750-6448-11f0-9230-ab77de340b9d,껸네,326,
59,2cdcee40-63cc-11f0-aab1-5f3bbe175c3e,강산,325,
60,4ac84310-63ee-11f0-bf41-c3e2fe979c75,태백,323,
61,121bf490-643d-11f0-99c8-7b44769d223b,태연이,321,
62,d1af65e0-64fa-11f0-89c4-91955faa19a3,바라기류,320,
62,ab0afec0-6222-11f0-8853-493fc3ae34f0,밀레니온,320,
64,bec8be40-6563-11f0-b5ae-9f72a71a5588,건도,318,
64,57f19800-6297-11f0-bb52-81a4b8daea44,꿀맛,318,
66,6ec084c0-638b-11f0-ab7a-bbc4f478c2db,이순신장군멍군,316,
67,b183bf40-642e-11f0-9a44-37c9035ed3bc,혐오,315,
68,c19cd6f0-6320-11f0-9bab-77b853254cef,사쿠라기,312,
68,b80cbc70-6255-11f0-8bea-3317711f0fe4,수진,312,
68,57f36640-6417-11f0-83ae-cb0d7c1d5c99,찐뽀,312,
71,d2ace080-647d-11f0-bb5e-79bc0c4c5953,신펜,311,
72,731291f0-6519-11f0-998d-6361b2224259,12342,309,
73,1d38b190-6881-11f0-a8b1-91e4ae461372,시몬,307,
74,bbe4fd80-6269-11f0-b63f-7755b72aa50f,덕풍동시라소니,305,
74,97139340-6363-11f0-9eba-319c3c5b72eb,국산뽀또,305,
74,0109ec60-6326-11f0-8452-27084395bcc2,만흑랑,305,
77,490e2be1-637e-11f0-b6f5-df7d29cfa051,로봇,303,
78,ceadd680-6309-11f0-b974-4ba43f735b03,윈져,301,
