Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3391-0542-9889-59009,01-Aug-25,12:00:34 AM PDT,,Charge,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,c2q,KR,,63026,KRW,7000,1,KRW,7000,,,4.99167E+18,Yes,,,
GPA.3391-0542-9889-59009,01-Aug-25,12:00:34 AM PDT,,Google fee,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,c2q,KR,,63026,KRW,-1050,1,KRW,-1050,,,4.99167E+18,Yes,15,,
GPA.3391-0542-9889-59009,01-Aug-25,12:00:34 AM PDT,Third-party Tax,Tax,,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ads_remove,c2q,KR,,63026,KRW,700,1,KRW,700,,,4.99167E+18,Yes,,,
GPA.3328-2197-9062-42261,01-Aug-25,12:02:04 AM PDT,,Charge,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,b0q,KR,,157-840,KRW,100000,1,KRW,100000,,,4.99167E+18,Yes,,,
GPA.3328-2197-9062-42261,01-Aug-25,12:02:04 AM PDT,,Google fee,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,b0q,KR,,157-840,KRW,-15000,1,KRW,-15000,,,4.99167E+18,Yes,15,,
GPA.3328-2197-9062-42261,01-Aug-25,12:02:04 AM PDT,Third-party Tax,Tax,,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_6,b0q,KR,,157-840,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3377-8968-5595-12172,01-Aug-25,12:06:49 AM PDT,,Charge,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3377-8968-5595-12172,01-Aug-25,12:06:49 AM PDT,,Google fee,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,-150,1,KRW,-150,,,4.99167E+18,Yes,15,,
GPA.3377-8968-5595-12172,01-Aug-25,12:06:49 AM PDT,Third-party Tax,Tax,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,100,1,KRW,100,,,4.99167E+18,Yes,,,
GPA.3330-0976-0336-94279,01-Aug-25,12:07:02 AM PDT,,Charge,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
GPA.3330-0976-0336-94279,01-Aug-25,12:07:02 AM PDT,,Google fee,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,-150,1,KRW,-150,,,4.99167E+18,Yes,15,,
GPA.3330-0976-0336-94279,01-Aug-25,12:07:02 AM PDT,Third-party Tax,Tax,,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_1,e2s,KR,,14126,KRW,100,1,KRW,100,,,4.99167E+18,Yes,,,
GPA.3334-0288-3255-19097,01-Aug-25,12:08:52 AM PDT,,Charge,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,q4q,KR,,37609,KRW,10000,1,KRW,10000,,,4.99167E+18,Yes,,,
GPA.3334-0288-3255-19097,01-Aug-25,12:08:52 AM PDT,,Google fee,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,q4q,KR,,37609,KRW,-1500,1,KRW,-1500,,,4.99167E+18,Yes,15,,
GPA.3334-0288-3255-19097,01-Aug-25,12:08:52 AM PDT,Third-party Tax,Tax,,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,1,ruby_3,q4q,KR,,37609,KRW,1000,1,KRW,1000,,,4.99167E+18,Yes,,,
