Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer,Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Promotion ID,Coupon Value,Discount Rate,Featured Product ID,Price Experiment ID
GPA.3321-6254-7696-51249,2025-07-01,1751331412,Charged,b5q,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_6,KRW,"100,000.00","10,000.00","110,000.00",거제시,경상남도,656-770,KR,,,4.99167E+18,Yes,,,,,
GPA.3354-7971-4048-25888,2025-07-01,1751335028,Charged,pa3q,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_3,KRW,"10,000.00","1,000.00","11,000.00",,,36301,KR,,,4.99167E+18,Yes,,,,,
GPA.3324-1229-4720-16701,2025-07-01,1751339279,Charged,dm1q,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_4,KRW,"30,000.00","3,000.00","33,000.00",,,1044,KR,,,4.99167E+18,Yes,,,,,
GPA.3306-0662-6863-07035,2025-07-01,1751341877,Charged,e2s,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",경남,경상남도,660-853,KR,,,4.99167E+18,Yes,,,,,
GPA.3358-5628-2165-60158,2025-07-01,1751351638,Charged,e3q,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_6,KRW,"100,000.00","10,000.00","110,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3323-8902-6067-28480,2025-07-01,1751354609,Charged,e3q,루비 자루 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_4,KRW,"30,000.00","3,000.00","33,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3346-5159-4479-63636,2025-07-01,1751384021,Charged,r0q,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",달서구,대구광역시,42655,KR,,,4.99167E+18,Yes,,,,,
GPA.3334-0367-0224-90429,2025-07-01,1751406671,Charged,q6q,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",오산시,경기도,18109,KR,,,4.99167E+18,Yes,,,,,
GPA.3380-5610-6198-06441,2025-07-01,1751412128,Charged,b5q,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_6,KRW,"100,000.00","10,000.00","110,000.00",거제시,경상남도,656-770,KR,,,4.99167E+18,Yes,,,,,
GPA.3317-9723-7113-81595,2025-07-02,1751464859,Charged,dm3q,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_2,KRW,"6,000.00",600,"6,600.00",,,41470,KR,,,4.99167E+18,Yes,,,,,
GPA.3311-4293-7051-79987,2025-07-03,1751507805,Charged,b5q,루비 수레 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_6,KRW,"100,000.00","10,000.00","110,000.00",거제시,경상남도,656-770,KR,,,4.99167E+18,Yes,,,,,
GPA.3386-5914-6004-38823,2025-07-03,1751522505,Charged,pa3q,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_2,KRW,"6,000.00",600,"6,600.00",,,36301,KR,,,4.99167E+18,Yes,,,,,
GPA.3396-7788-2627-98395,2025-07-03,1751526486,Charged,b4q,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",,,13081,KR,,,4.99167E+18,Yes,,,,,
GPA.3377-7831-4764-14806,2025-07-03,1751545145,Charged,c1q,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",,,12915,KR,,,4.99167E+18,Yes,,,,,
GPA.3396-5711-8093-93340,2025-07-03,1751548139,Charged,dm3q,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_3,KRW,"10,000.00","1,000.00","11,000.00",,,41470,KR,,,4.99167E+18,Yes,,,,,
GPA.3391-4012-1414-27271,2025-07-04,1751592567,Charged,pa2q,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_5,KRW,"50,000.00","5,000.00","55,000.00",달서구,대구광역시,704-766,KR,,,4.99167E+18,Yes,,,,,
GPA.3346-4599-5225-34716,2025-07-04,1751595640,Charged,e3q,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_5,KRW,"50,000.00","5,000.00","55,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3309-0456-8358-09960,2025-07-04,1751632702,Charged,c1q,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_2,KRW,"6,000.00",600,"6,600.00",,,12915,KR,,,4.99167E+18,Yes,,,,,
GPA.3334-1832-5426-20465,2025-07-04,1751665092,Charged,dm3q,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_5,KRW,"50,000.00","5,000.00","55,000.00",,,41470,KR,,,4.99167E+18,Yes,,,,,
GPA.3371-5772-8448-33551,2025-07-05,1751678577,Charged,pa2q,루비 드럼통 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_5,KRW,"50,000.00","5,000.00","55,000.00",달서구,대구광역시,704-766,KR,,,4.99167E+18,Yes,,,,,
GPA.3342-1746-3019-69945,2025-07-05,1751693132,Charged,e3q,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_3,KRW,"10,000.00","1,000.00","11,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3305-0253-8086-73241,2025-07-05,1751693144,Charged,e3q,루비 한줌 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_2,KRW,"6,000.00",600,"6,600.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3309-3706-9554-83327,2025-07-05,1751693155,Charged,e3q,루비 소량 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_1,KRW,"1,000.00",100,"1,100.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3378-4594-2853-51719,2025-07-05,1751693678,Charged,e3q,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_3,KRW,"10,000.00","1,000.00","11,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3318-4691-7836-19863,2025-07-05,1751693690,Charged,e3q,루비 무더기 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ruby_3,KRW,"10,000.00","1,000.00","11,000.00",강서구,서울특별시,157-836,KR,,,4.99167E+18,Yes,,,,,
GPA.3325-5054-8575-93737,2025-07-05,1751695097,Charged,q6q,광고 제거 & 무제한 버프 패키지 (난세표류기 - 한국사 방치형 RPG),com.twokang.historydriftgoogle,inapp,ads_remove,KRW,"7,000.00",700,"7,700.00",,,2039,KR,,,4.99167E+18,Yes,,,,,
